arm,backend,precision,n_assets,instance,qaoa_seed,e1_run_id,P_F,P_tau_main,P_opt,Q_tau_main_1000,probs_sum,max_abs_dp_F,tv_F,tv_F_perp,dP_F,dP_tau_main,rel_dP_tau_main,max_abs_dp_all,tv_all
cpu_double,lightning_cpu,double,20,1,43,N20_i01_Aheur_s43,0.00421126633595338,8.64491533550323e-07,8.64491533550323e-07,0.0008641183417809062,0.999999999999984,1.852884572118782e-20,2.99236093836855e-17,6.028127021327962e-17,-6.071532165918825e-17,-1.1011428314305904e-20,-1.2737462296575259e-14,8.565197162635485e-18,7.133233404468886e-15
gpu_single,lightning_gpu,single,12,0,42,N12_i00_Aheur_s42,0.17169158207252622,0.002430905355140567,0.002430905355140567,0.9123027557558537,0.9999998147877704,2.586410815987733e-09,2.5641184976709155e-08,3.854908027099875e-08,2.581579058857919e-08,2.0663240259469196e-10,8.500224812206324e-08,1.7506201668848753e-08,3.177525290532951e-07
gpu_single,lightning_gpu,single,12,0,43,N12_i00_Aheur_s43,0.00991729661473073,0.00014961505075916648,0.00014961505075916648,0.13897026885788233,0.9999995336911525,3.5681248971089485e-10,3.31374760076874e-09,6.410346604026501e-09,-6.193198006515521e-09,-3.388404238181125e-11,-2.2647477333328684e-07,6.981201584703445e-09,2.900322064692138e-07
gpu_single,lightning_gpu,single,12,1,42,N12_i01_Aheur_s42,0.17893968150019646,0.002538474975153804,0.002538474975153804,0.9212677454468932,1.0000002769629646,5.0139701344813215e-09,6.584292495362583e-08,1.307338573033629e-07,1.2978186469947417e-07,1.4008707592376435e-09,5.518555613222404e-07,3.701659748167607e-08,4.521196967358469e-07
gpu_single,lightning_gpu,single,12,1,43,N12_i01_Aheur_s43,0.009937588081811555,0.00015015876851975918,0.00015015876851975918,0.13943836890848327,0.9999983769921528,6.06474897537311e-10,1.1938860325065603e-08,2.3877720649900813e-08,-2.387772064967042e-08,-3.17220125682768e-10,-2.1125603164118684e-06,1.6075868594644938e-08,8.73687392478238e-07
gpu_single,lightning_gpu,single,16,0,42,N16_i00_Aheur_s42,0.37682731926906854,0.002007886185310781,0.0006685237749479711,0.8659985544205832,1.000000214418037,1.2526319187640411e-09,8.68461610429791e-08,1.1521881254899363e-07,5.674530301202907e-08,-2.2530455799640858e-11,-1.1220982400125306e-08,5.638835772880241e-09,3.2950046280601984e-07
gpu_single,lightning_gpu,single,16,0,43,N16_i00_Aheur_s43,0.0005677020053553861,3.040031629097939e-06,1.0201343911830918e-06,0.0030354200188242864,1.0000018454529709,1.1145804471112436e-11,7.591031919402501e-10,1.4034235148388298e-09,1.2886406457971594e-09,2.3966655627121977e-12,7.883692489346844e-07,2.9063706220334995e-09,1.2275385378995223e-06
gpu_single,lightning_gpu,single,16,1,42,N16_i01_Aheur_s42,0.37734235514653847,0.0006705258274450898,0.0006705258274450898,0.488675433251085,0.9999981382724172,2.3866549860550312e-09,3.04316669940232e-07,6.085358723807353e-07,-6.084384048810065e-07,-1.3098295676165425e-09,-1.953432597732458e-06,1.7115213843399424e-08,9.46674622018582e-07
gpu_single,lightning_gpu,single,16,1,43,N16_i01_Aheur_s43,0.0005366150222130273,9.502907118985604e-07,9.502907118985604e-07,0.0009498397797707003,1.0000012909470684,7.752983758844504e-12,5.872244779509624e-10,9.678047511930912e-10,7.611605464842575e-10,5.612179831052637e-13,5.905753971072219e-07,4.028031634802087e-09,1.2157944034082362e-06
gpu_single,lightning_gpu,single,20,0,42,N20_i00_Aheur_s42,0.04699944201911421,3.9290866880037356e-05,9.796306585485581e-06,0.0385297337672329,0.9999991234768348,8.120479021504724e-11,1.4799845768354618e-07,2.9599691536708643e-07,-2.959969153670805e-07,-2.1708826497367347e-10,-5.52512791830348e-06,1.1665029131871507e-08,1.2238415473530714e-06
gpu_single,lightning_gpu,single,20,0,43,N20_i00_Aheur_s43,0.004240396390514434,3.4859622246585786e-06,8.714658292774402e-07,0.003479899367227146,1.0000011147269987,3.5488510184021247e-12,2.534565541105716e-09,4.970910563534504e-09,4.872690044857575e-09,4.171409135537811e-12,1.1966320511657974e-06,8.186550324359304e-10,6.061504307944724e-07
gpu_single,lightning_gpu,single,20,1,42,N20_i01_Aheur_s42,0.04747660471821291,9.881771802611183e-06,9.881771802611183e-06,0.009833155868903654,1.0000020312732048,2.3763442270538764e-11,1.4350851839379935e-08,2.629241595886859e-08,-2.3883128238977314e-08,-7.03770384288436e-12,-7.121899767855968e-07,3.4617335116504666e-08,1.0900080434136924e-06
