run_id,n_assets,instance,penalty_label,qaoa_seed,feasible_set_size,final_P_F,final_D_cond,initial_P_F,initial_D_cond,point_mass_D_cond
N12_i05_10xAcrit_s46,12,5,10xAcrit,46,66,0.32326470920816064,0.027777670901030865,0.013213418860686943,0.07290959242096336,0.9848484848484849
N12_i05_2xAcrit_s42,12,5,2xAcrit,42,66,0.2630584709113464,0.4062327918664542,0.22812341697999727,0.4375222411598701,0.9848484848484849
N12_i05_2xAcrit_s43,12,5,2xAcrit,43,66,0.015045652922708541,0.0396588798866811,0.1899686015676707,0.03355718640970372,0.9848484848484849
N12_i05_2xAcrit_s44,12,5,2xAcrit,44,66,0.3738422754686326,0.08908805936068978,0.12353495613206178,0.055983094722814694,0.9848484848484849
N12_i05_2xAcrit_s45,12,5,2xAcrit,45,66,0.06814571351424092,0.3221155872143251,0.15188905148534104,0.18167318614812894,0.9848484848484849
N12_i05_2xAcrit_s46,12,5,2xAcrit,46,66,0.30461241281591356,0.19697687036419945,0.06762836099369451,0.16669070617158005,0.9848484848484849
N12_i05_5xAcrit_s42,12,5,5xAcrit,42,66,0.1782091257337015,0.2995833967054098,0.10430169058963656,0.14061474965694837,0.9848484848484849
N12_i05_5xAcrit_s43,12,5,5xAcrit,43,66,0.015641775680705905,0.012143512037607707,0.2182392741087824,0.008693183576984573,0.9848484848484849
N12_i05_5xAcrit_s44,12,5,5xAcrit,44,66,0.48658625641837716,0.02977188616012397,0.12199383333791047,0.028542663265828796,0.9848484848484849
N12_i05_5xAcrit_s45,12,5,5xAcrit,45,66,0.06159675889648497,0.15918281090317024,0.10553929337766021,0.1199956822228631,0.9848484848484849
N12_i05_5xAcrit_s46,12,5,5xAcrit,46,66,0.1637707045301795,0.18041512961540235,0.020517161930911243,0.15081017183905748,0.9848484848484849
N12_i05_Aheur_s42,12,5,Aheur,42,66,0.1774569172412157,0.01492970764580624,0.11595735501032323,0.006908822499861161,0.9848484848484849
N12_i05_Aheur_s43,12,5,Aheur,43,66,0.009936253671185113,0.0018821892219828404,0.22257926547899842,0.0005690383492342093,0.9848484848484849
