n_assets,penalty_label,shots,runs,Q_tau_final_median,Q_opt_final_median,Q_tau_initial_median,Q_opt_initial_median,Q_tau_uniform_all_median,Q_tau_uniform_F_median,Q_opt_uniform_all_median,Q_opt_uniform_F_median,final_beats_uniform_F_rate,final_beats_uniform_F_runs_opt,final_beats_uniform_F_runs_alt
16,Amargin,1000,2,0.7149078371065419,0.5467334242482575,0.42845395372578504,0.2938834281347428,0.029944257177332758,0.9139716235884054,0.015143078261349174,0.8325901989735831,0.0,0,0
16,Amargin,10000,2,0.9996825225961931,0.9995803454335188,0.9950891456441076,0.946554075930939,0.254413603981454,0.9999999913547251,0.1415175614212521,0.9999999827094502,0.0,0,0
16,Aheur,10,2,0.013291734862880267,0.00667511208409699,0.0008655921315317561,0.0004255193351253572,0.0003051234003232701,0.035006290557811265,0.0001525774136723498,0.017714329137449757,0.0,0,0
16,Aheur,100,2,0.12347738847988748,0.06478132341189347,0.008613935531822603,0.004247051798080825,0.003046003287995014,0.28963015593733404,0.0015247269688252072,0.16366920587598202,0.0,0,0
16,Aheur,1000,2,0.677336993835834,0.48816272760865426,0.08210365247605933,0.0416676889768785,0.029944257177332758,0.9139716235884054,0.015143078261349174,0.8325901989735831,0.0,0,0
16,Aheur,10000,2,0.9993891462302609,0.9987659331310585,0.5394281290091933,0.34660850104298596,0.254413603981454,0.9999999913547251,0.1415175614212521,0.9999999827094502,0.0,0,0
20,1.1xAcrit,10,2,0.004723185817870901,0.0033300133428673107,0.0008342621053153976,0.00047193322202448984,2.384151003181551e-05,0.0051436983561671526,9.536702236905002e-06,0.002062067530338662,0.5,1,1
20,1.1xAcrit,100,2,0.04620006199642568,0.032561609801388336,0.00831114012287626,0.004705539866131925,0.00023838031666977138,0.04985248778102113,9.536292978210036e-05,0.020430378183014807,0.5,1,1
20,1.1xAcrit,1000,2,0.37423425638553265,0.26366767751631637,0.08004951222889856,0.045708860235478876,0.0023803289836107494,0.3743413376084322,0.0009532201678953594,0.1865083786494737,0.5,1,1
20,1.1xAcrit,10000,2,0.9867409764308006,0.8089914866253626,0.5648345919257725,0.34977796876551653,0.023460014187859396,0.9364104718060605,0.009491417149575684,0.8730797723776871,0.5,1,1
20,2xAcrit,10,2,0.0024899724207840257,0.0010872015520737022,0.0013161316635443843,0.0010131705698108728,2.384151003181551e-05,0.0051436983561671526,9.536702236905002e-06,0.002062067530338662,0.0,0,0
20,2xAcrit,100,2,0.024555038956520947,0.010817757703282138,0.013068843654202855,0.01005111631600758,0.00023838031666977138,0.04985248778102113,9.536292978210036e-05,0.020430378183014807,0.0,0,0
20,2xAcrit,1000,2,0.21471727628922715,0.10294982336787883,0.12194983509718771,0.09293162541593197,0.0023803289836107494,0.3743413376084322,0.0009532201678953594,0.1865083786494737,0.0,0,0
20,2xAcrit,10000,2,0.8452959823990578,0.6584117946126662,0.6862254175611635,0.48739572890918514,0.023460014187859396,0.9364104718060605,0.009491417149575684,0.8730797723776871,0.0,0,0
20,5xAcrit,10,2,0.002606354528533361,0.0010486506231400794,8.213512740884443e-05,5.34064126069822e-05,2.384151003181551e-05,0.0051436983561671526,9.536702236905002e-06,0.002062067530338662,0.0,0,0
20,5xAcrit,100,2,0.025655078222287242,0.010437149328205442,0.0008210411936504514,0.0005339233345027505,0.00023838031666977138,0.04985248778102113,9.536292978210036e-05,0.020430378183014807,0.0,0,0
20,5xAcrit,1000,2,0.22056023814654907,0.0996025271089736,0.008179491320991272,0.005325183348702911,0.0023803289836107494,0.3743413376084322,0.0009532201678953594,0.1865083786494737,0.0,0,0
