n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
20,Amargin,Aheur,rank_best_feasible,2,0,2,-41.5,-76.0,-7.0,2,0,better
20,Amargin,Aheur,feasible_shot_fraction,2,0,2,0.4405,0.392,0.48900000000000005,2,0,better
20,Amargin,Aheur,runtime_s,2,0,2,0.040698390919715166,-0.024841795675456524,0.10623857751488686,1,0,worse
20,5xAcrit,Aheur,final_P_F,2,0,2,0.4140337793060098,0.3202335174764812,0.5078340411355384,2,0,better
20,5xAcrit,Aheur,final_P_tau_main,2,0,2,0.00023646296540391631,9.652850440033944e-05,0.0003763974264074932,2,0,better
20,5xAcrit,Aheur,final_Q_tau_main_1000,2,0,2,0.1963787933284808,0.09111622331309166,0.30164136334386993,2,0,better
20,5xAcrit,Aheur,final_P_opt,2,0,2,9.507555114396382e-05,9.36225978875882e-05,9.652850440033944e-05,2,0,better
20,5xAcrit,Aheur,g_F,2,0,2,-0.05855629383148862,-0.08349478513105896,-0.03361780253191829,2,0,better
20,5xAcrit,Aheur,g_off,2,0,2,0.019453835027242215,0.0012366266706282448,0.037671043383856184,0,0,worse
20,5xAcrit,Aheur,rank_best_feasible,2,0,2,-54.5,-76.0,-33.0,2,0,better
20,5xAcrit,Aheur,feasible_shot_fraction,2,0,2,0.4105,0.3,0.5209999999999999,2,0,better
20,5xAcrit,Aheur,runtime_s,2,0,2,-0.017541760578751564,-0.059731051325798035,0.024647530168294907,1,0,better
20,10xAcrit,Aheur,final_P_F,2,0,2,0.34401659598643164,0.23479270864936552,0.45324048332349776,2,0,better
20,10xAcrit,Aheur,final_P_tau_main,2,0,2,0.00012091442295059096,8.036027884372743e-05,0.0001614685670574545,2,0,better
20,10xAcrit,Aheur,final_Q_tau_main_1000,2,0,2,0.10991905407710284,0.07646057039647625,0.14337753775772943,2,0,better
20,10xAcrit,Aheur,final_P_opt,2,0,2,6.0938449678360485e-05,4.151662051299354e-05,8.036027884372743e-05,2,0,better
20,10xAcrit,Aheur,g_F,2,0,2,-0.08019590841063867,-0.08713385180680182,-0.07325796501447553,2,0,better
20,10xAcrit,Aheur,g_off,2,0,2,0.006055401999748783,-1.7774774992739928e-05,0.012128578774490306,1,0,worse
20,10xAcrit,Aheur,rank_best_feasible,2,0,2,-62.5,-78.0,-47.0,2,0,better
20,10xAcrit,Aheur,feasible_shot_fraction,2,0,2,0.3255,0.22500000000000003,0.426,2,0,better
20,10xAcrit,Aheur,runtime_s,2,0,2,0.12951145507395267,0.015306760556995869,0.24371614959090948,0,0,worse
20,1.1xAcrit,Aheur,final_P_F,2,0,2,0.12763812766022203,0.09239451820072542,0.16288173711971865,2,0,better
20,1.1xAcrit,Aheur,final_P_tau_main,2,0,2,0.00044878155313199386,0.0003370368676769431,0.0005605262385870446,2,0,better
20,1.1xAcrit,Aheur,final_Q_tau_main_1000,2,0,2,0.3500528115674644,0.2751415333673829,0.42496408976754585,2,0,better
20,1.1xAcrit,Aheur,final_P_opt,2,0,2,0.00032391446256951895,8.730268655199325e-05,0.0005605262385870446,2,0,better
20,1.1xAcrit,Aheur,g_F,2,0,2,-0.11709969265966458,-0.1526956418694082,-0.08150374344992094,2,0,better
20,1.1xAcrit,Aheur,g_off,2,0,2,0.004035370636094399,-0.0007530513470718084,0.008823792619260607,1,0,worse
20,1.1xAcrit,Aheur,rank_best_feasible,2,0,2,-63.5,-75.0,-52.0,2,0,better
20,1.1xAcrit,Aheur,feasible_shot_fraction,2,0,2,0.1255,0.07199999999999998,0.179,2,0,better
20,1.1xAcrit,Aheur,runtime_s,2,0,2,-0.19651057291775942,-0.27028656005859375,-0.12273458577692509,2,0,better
