n_assets,quantity,E1,E5
20,window,2023-08-06 – 2026-08-05,2020-08-05 – 2023-08-05
20,instances with A_crit = 0,0,0
20,"A_heur / A_crit, median",99.40782225468385,91.91689512042865
20,"Δ_F, median",2.1948749530067095,2.7098767660046463
20,"P_τ under uniform-over-F, median",0.000412796697626419,0.0006191950464396285
20,Amargin: P_F median,0.2973977809506323,0.296453046872557
20,Amargin: P_τ median,0.00013986549311084673,0.00019146245540468954
20,Amargin: Q_τ(1000) median,0.13049998864705453,0.1742638761386046
20,Amargin: g_off median (%),0.7616357510199278,0.4945737644726318
20,Amargin: g_F median (%),3.8030390948033816,2.2972723900245287
20,Amargin: optimal rate,0.12,0.08
20,Amargin: runs with no feasible shot,0,0
20,Amargin: pass g_off ≤ 0.1 % but fail g_F ≤ τ,0.0,0.0
20,Amargin: deflation D median,4.504454295976669,4.428655974473811
20,Aheur: P_F median,0.1670977859539562,0.16550198977529362
20,Aheur: P_τ median,6.173090150696225e-05,0.00010339182153984439
20,Aheur: Q_τ(1000) median,0.05986593318271255,0.09823084849963554
20,Aheur: g_off median (%),0.042601387442239604,0.036200609798304924
20,Aheur: g_F median (%),6.476171032877795,4.6364103740843525
20,Aheur: optimal rate,0.04,0.04
20,Aheur: runs with no feasible shot,0,0
20,Aheur: pass g_off ≤ 0.1 % but fail g_F ≤ τ,0.74,0.66
20,Aheur: deflation D median,154.48255639231388,124.04424471238491
20,Amargin − Aheur: final_P_F median diff,0.026423322040500352,0.03193767227821809
20,Amargin − Aheur: final_P_F CI low,0.004721104360157824,0.004657565461798185
20,Amargin − Aheur: final_P_F CI high,0.06147031304863049,0.04893968379110447
20,Amargin − Aheur: final_P_F instances better / tied / of,10 / 0 / 10,10 / 0 / 10
20,Amargin − Aheur: final_P_tau_main median diff,9.845430668065092e-05,0.00014394362551684026
20,Amargin − Aheur: final_P_tau_main CI low,7.123247178242309e-05,7.184601372500765e-05
20,Amargin − Aheur: final_P_tau_main CI high,0.000213658090615354,0.0003134951170977729
20,Amargin − Aheur: final_P_tau_main instances better / tied / of,10 / 0 / 10,10 / 0 / 10
20,Amargin − Aheur: final_Q_tau_main_1000 median diff,0.08952002336599518,0.12199177307861747
20,Amargin − Aheur: final_Q_tau_main_1000 CI low,0.06666143132473534,0.0618759151218603
20,Amargin − Aheur: final_Q_tau_main_1000 CI high,0.20245319722132826,0.2194532292167024
20,Amargin − Aheur: final_Q_tau_main_1000 instances better / tied / of,10 / 0 / 10,10 / 0 / 10
20,Amargin − Aheur: final_P_opt median diff,6.749529393346165e-05,5.5227596021723e-05
20,Amargin − Aheur: final_P_opt CI low,5.3587300499202684e-05,3.606141049203871e-05
20,Amargin − Aheur: final_P_opt CI high,8.488484672852792e-05,5.948994294158183e-05
20,Amargin − Aheur: final_P_opt instances better / tied / of,10 / 0 / 10,10 / 0 / 10
20,Amargin − Aheur: g_F median diff,-1.7467700998090399,-1.931302074824285
20,Amargin − Aheur: g_F CI low,-4.488539637288342,-3.7961332223302517
20,Amargin − Aheur: g_F CI high,-0.7319829843176393,0.0
20,Amargin − Aheur: g_F instances better / tied / of,9 / 0 / 10,7 / 2 / 10
20,Amargin − Aheur: g_off median diff,0.6340002449074806,0.5217792877469064
20,Amargin − Aheur: g_off CI low,0.41095110582828454,0.19925749766510256
20,Amargin − Aheur: g_off CI high,0.9466696824866202,0.8987455261443723
20,Amargin − Aheur: g_off instances better / tied / of,1 / 0 / 10,0 / 0 / 10
20,Amargin − Aheur: rank_best_feasible median diff,-24.0,-10.5
20,Amargin − Aheur: rank_best_feasible CI low,-36.0,-20.5
20,Amargin − Aheur: rank_best_feasible CI high,-7.0,0.0
20,Amargin − Aheur: rank_best_feasible instances better / tied / of,9 / 0 / 10,7 / 2 / 10
20,Amargin − Aheur: feasible_shot_fraction median diff,0.025499999999999967,0.025000000000000022
20,Amargin − Aheur: feasible_shot_fraction CI low,0.008,0.007
20,Amargin − Aheur: feasible_shot_fraction CI high,0.065,0.06
20,Amargin − Aheur: feasible_shot_fraction instances better / tied / of,10 / 0 / 10,9 / 1 / 10
20,Amargin − Aheur: runtime_s median diff,0.00805881293490529,0.011959336698055267
20,Amargin − Aheur: runtime_s CI low,-0.04463223819620906,-0.7542228968814015
20,Amargin − Aheur: runtime_s CI high,0.08508305577561259,0.11264556646347046
20,Amargin − Aheur: runtime_s instances better / tied / of,5 / 0 / 10,5 / 0 / 10
20,Amargin: E2 optimised beats uniform-F at S = 1000 (rate),0.06,0.04
20,Amargin: E2 Q_τ(1000) optimised / unoptimised / uniform-F,0.130 / 0.043 / 0.338,0.174 / 0.055 / 0.462
20,Aheur: E2 optimised beats uniform-F at S = 1000 (rate),0.0,0.0
20,Aheur: E2 Q_τ(1000) optimised / unoptimised / uniform-F,0.060 / 0.021 / 0.338,0.098 / 0.037 / 0.462
20,Amargin / Aheur g_off ratio: pairs,42,44
20,Amargin / Aheur g_off ratio: median total / solution / denominator,26.3 / 0.74 / 39.5,18.0 / 0.67 / 27.8
20,Amargin / Aheur g_off ratio: geometric total = solution × denominator,22.3 = 0.64 × 34.6,12.4 = 0.45 × 27.4
