n_assets,n_select,instance,annealing_seed,energy_optimum,energy_annealing,feasible,reported_gap_pct,gap_of_objective_range_pct,rank,feasible_set_size,sharpe_optimum,sharpe_annealing,sharpe_delta_pct,runtime_s
12,2,18,1000,-52.18078808666308,-52.18078808666308,True,0.0,0.0,1,66,1.1160703618928554,1.1160703618928554,0.0,3.3749239845201373
12,2,18,1001,-52.18078808666308,-52.18078808666308,True,0.0,0.0,1,66,1.1160703618928554,1.1160703618928554,0.0,3.3682449385523796
12,2,18,1002,-52.18078808666308,-52.18078808666308,True,0.0,0.0,1,66,1.1160703618928554,1.1160703618928554,0.0,3.3524627024307847
12,2,18,1003,-52.18078808666308,-52.18078808666308,True,0.0,0.0,1,66,1.1160703618928554,1.1160703618928554,0.0,3.400082935579121
12,2,18,1004,-52.18078808666308,-52.18078808666308,True,0.0,0.0,1,66,1.1160703618928554,1.1160703618928554,0.0,3.3858871664851904
12,2,19,1000,-52.139587006332306,-52.139587006332306,True,0.0,0.0,1,66,1.4947625113107745,1.4947625113107745,0.0,3.3879323126748204
12,2,19,1001,-52.139587006332306,-52.139587006332306,True,0.0,0.0,1,66,1.4947625113107745,1.4947625113107745,0.0,3.403202270157635
12,2,19,1002,-52.139587006332306,-52.139587006332306,True,0.0,0.0,1,66,1.4947625113107745,1.4947625113107745,0.0,3.38563862349838
12,2,19,1003,-52.139587006332306,-52.139587006332306,True,0.0,0.0,1,66,1.4947625113107745,1.4947625113107745,0.0,3.4448572071269155
12,2,19,1004,-52.139587006332306,-52.139587006332306,True,0.0,0.0,1,66,1.4947625113107745,1.4947625113107745,0.0,3.4034166978672147
12,2,20,1000,-52.41383753342558,-52.41383753342558,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,3.370598526671529
12,2,20,1001,-52.41383753342558,-52.41383753342558,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,3.373994638212025
12,2,20,1002,-52.41383753342558,-52.41383753342558,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,3.3791275210678577
12,2,20,1003,-52.41383753342558,-52.41383753342558,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,3.379188165999949
12,2,20,1004,-52.41383753342558,-52.41383753342558,True,0.0,0.0,1,66,1.697773348056154,1.697773348056154,0.0,3.363647185266018
12,2,21,1000,-52.17417826161483,-52.17417826161483,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,3.383260129019618
12,2,21,1001,-52.17417826161483,-52.17417826161483,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,3.3692735163494945
12,2,21,1002,-52.17417826161483,-52.17417826161483,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,3.3706055162474513
12,2,21,1003,-52.17417826161483,-52.17417826161483,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,3.389937718398869
12,2,21,1004,-52.17417826161483,-52.17417826161483,True,0.0,0.0,1,66,1.3951242001054784,1.3951242001054784,0.0,3.3764717979356647
