n_assets,instance,penalty_label,penalty,qaoa_seed,precision,gradient_evaluations,objective_evaluations,scipy_status,scipy_message,scipy_iterations,scipy_final_grad_norm,scipy_version,scipy_ftol,scipy_gtol,best_expectation,seconds,final_P_F,final_P_tau_main,final_P_opt,final_Q_tau_main_1000,final_expected_violation,final_D_cond,shots_feasible,g_F,within_tau_main,is_optimal
12,1,Amargin,0.3539176455668778,42,double,15,15,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,7.124928305457523e-06,1.17.1,2.220446049250313e-09,1e-05,-1.8909161838042519,3.363458658568561,0.1927864447296654,0.0008902159204008846,0.0008902159204008846,0.5895956549842232,12.01284340166948,0.36746567968478117,198,0.0,True,True
12,1,Amargin,0.3539176455668778,43,single,63,63,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,0.00116061232984066,1.17.1,2.220446049250313e-09,1e-05,-1.1232550144195557,13.29061076324433,0.021057042700704187,0.00037159997737035155,0.00037159997737035155,0.3104175694866123,14.252967926127894,0.04156146430495501,23,0.0,True,True
12,1,Amargin,0.3539176455668778,43,double,22,22,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,0.00018032717159947864,1.17.1,2.220446049250313e-09,1e-05,-1.1232575007377228,4.726974687539041,0.021039081683110326,0.0003712963397770004,0.0003712963397770004,0.31020807671796086,14.252879375242888,0.04159491047602626,15,0.0616136650977683,False,False
16,0,Aheur,16.999999999972275,42,single,46,46,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,0.1176315862685442,1.17.1,2.220446049250313e-09,1e-05,-2.1704742908477783,38.577688777819276,0.2859552619047463,0.0013879108882974833,0.00045652006519958377,0.7506443101992394,18.140200256435293,0.015656247495959282,293,0.0,True,True
16,0,Aheur,16.999999999972275,42,double,17,17,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,1.6708626409348698e-06,1.17.1,2.220446049250313e-09,1e-05,-2.1709233608102387,16.540979398414493,0.2823525754909585,0.0013705271861830983,0.00045081567264775154,0.7462655972619967,18.139823482196004,0.015627118795805053,297,0.007859121285048768,True,False
16,0,Aheur,16.999999999972275,43,single,64,64,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,0.019595363410189748,1.17.1,2.220446049250313e-09,1e-05,-1.2599902153015137,53.71303644031286,0.0006491027600077359,3.514141212690447e-06,1.1818968914667494e-06,0.0035079799978562755,22.68104903083713,0.006137822632993106,2,0.28576092498208333,False,False
16,0,Aheur,16.999999999972275,43,double,22,22,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,7.780728978228784e-06,1.17.1,2.220446049250313e-09,1e-05,-1.259973743748408,21.28915074840188,0.0006506148787816608,3.5211673823853194e-06,1.1841582286309528e-06,0.0035149815199203615,22.681019048840703,0.006089607374461379,0,,,
16,0,Amargin,0.31113031231330396,42,single,100,100,-1,stopped at the gradient budget,-1,nan,1.17.1,2.220446049250313e-09,1e-05,-5.295291423797607,83.36956915725023,0.4228836041293107,0.002154099172912538,0.0007178509840741754,0.8842615739222497,0.9329212325584675,0.025454230862959712,420,0.004928513857996672,True,False
16,0,Amargin,0.31113031231330396,42,double,73,73,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,43,4.8073337349102685e-06,1.17.1,2.220446049250313e-09,1e-05,-5.295078165115942,69.03002244792879,0.42291739230260356,0.0021538920733746242,0.0007177632429928131,0.8842375503133886,0.9327560462874249,0.02545470643338309,403,0.0,True,True
16,0,Amargin,0.31113031231330396,43,single,48,48,2,ABNORMAL: ,20,2.723420038819313e-05,1.17.1,2.220446049250313e-09,1e-05,-1.3596251010894775,40.41980108618736,0.001589061666081193,2.4824559204716934e-05,9.816402780415956e-06,0.024519264393698618,21.610786394647885,0.30945218444587264,3,0.08500014867810102,False,False
16,0,Amargin,0.31113031231330396,43,double,23,23,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,1.3320456551765836e-05,1.17.1,2.220446049250313e-09,1e-05,-1.359622127703777,22.074072513729334,0.0015891805067616699,2.482603458039026e-05,9.816940844200659e-06,0.02452070362891346,21.61083925622999,0.3094469051480694,0,,,
16,1,Aheur,16.999999999977796,42,single,96,96,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,0.00758853429579176,1.17.1,2.220446049250313e-09,1e-05,-2.1736505031585693,79.61729346308857,0.2815416630473919,0.00045986013719812036,0.00045986013719812036,0.36869483069834597,18.14702731392319,0.015523491458081254,282,0.0,True,True
16,1,Aheur,16.999999999977796,42,double,16,16,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,5.863007448968661e-05,1.17.1,2.220446049250313e-09,1e-05,-2.1731181007963367,15.553940073587,0.2805699390017634,0.0004583470608878346,0.0004583470608878346,0.36773845537488287,18.147085099815964,0.0154933916398791,273,0.0,True,True
16,1,Aheur,16.999999999977796,43,single,92,92,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,0.0026972484192810953,1.17.1,2.220446049250313e-09,1e-05,-1.2646998167037964,76.3991903392598,0.0006213321196355537,1.113472762881429e-06,1.113472762881429e-06,0.001112853701326538,22.656883718965446,0.00622668431262073,1,0.24296669345793376,False,False
16,1,Aheur,16.999999999977796,43,double,22,22,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,5.572753227350846e-06,1.17.1,2.220446049250313e-09,1e-05,-1.2646932858545015,21.199057278223336,0.0006270139384980203,1.1236912977133436e-06,1.1236912977133436e-06,0.0011230608236906402,22.65689565911544,0.006200057924568457,0,,,
16,1,Amargin,0.47365326741735486,42,single,100,100,-1,stopped at the gradient budget,-1,nan,1.17.1,2.220446049250313e-09,1e-05,-5.569479465484619,82.76114112325013,0.46494822573731653,0.0013726940378546715,0.0013726940378546715,0.7468155603522157,0.7820504030797846,0.10064772856348128,470,0.0,True,True
16,1,Amargin,0.47365326741735486,42,double,68,68,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43,1.3330363904507855e-05,1.17.1,2.220446049250313e-09,1e-05,-5.528418006574041,64.01030231732875,0.41529613924312125,0.000732922293160207,0.000732922293160207,0.5196263363605742,0.9695079717235044,0.01766002363000405,408,0.0,True,True
16,1,Amargin,0.47365326741735486,43,single,32,32,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,0.0002572266384959221,1.17.1,2.220446049250313e-09,1e-05,-1.491925597190857,26.7671588845551,0.0023776532474357737,8.037322913878597e-06,8.037322913878597e-06,0.008005142034611758,21.071132816845182,0.12256557372154503,1,0.32870202701114,False,False
16,1,Amargin,0.47365326741735486,43,double,25,25,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,4.904496563151728e-05,1.17.1,2.220446049250313e-09,1e-05,-1.4919215351531268,23.864189735613763,0.002376532174421953,8.03353059291456e-06,8.03353059291456e-06,0.008001380034353049,21.071155248592362,0.12254353854631846,2,0.5029715976872887,False,False
