sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,20,43,2,42,-1.759974479675293
seeds,20,43,2,43,-1.7608883380889893
seeds,20,43,2,44,-1.7602360248565674
seeds,20,43,2,45,-1.7600526809692383
seeds,20,43,2,46,-1.759841799736023
seeds,20,43,2,47,-1.7598861455917358
seeds,20,43,2,48,-1.7622714042663574
seeds,20,43,2,49,-1.7670258283615112
seeds,20,44,2,0,-3.1468310356140137
seeds,20,44,2,1,-5.219968795776367
seeds,20,44,2,2,-5.827695369720459
seeds,20,44,2,3,-5.989560604095459
seeds,20,44,2,4,-5.9798407554626465
seeds,20,44,2,5,-5.879188537597656
seeds,20,44,2,6,-5.736542224884033
seeds,20,44,2,7,-5.642940044403076
seeds,20,44,2,8,-5.702605247497559
seeds,20,44,2,9,-5.834674835205078
seeds,20,44,2,10,-5.920509338378906
seeds,20,44,2,11,-5.935122013092041
seeds,20,44,2,12,-5.914489269256592
seeds,20,44,2,13,-5.893287658691406
seeds,20,44,2,14,-5.884378433227539
seeds,20,44,2,15,-5.890231609344482
seeds,20,44,2,16,-5.916684627532959
seeds,20,44,2,17,-5.966281414031982
seeds,20,44,2,18,-6.0224289894104
seeds,20,44,2,19,-6.058931827545166
seeds,20,44,2,20,-6.063699245452881
seeds,20,44,2,21,-6.048361778259277
seeds,20,44,2,22,-6.036623477935791
seeds,20,44,2,23,-6.039932727813721
seeds,20,44,2,24,-6.049471378326416
seeds,20,44,2,25,-6.056756019592285
seeds,20,44,2,26,-6.065844535827637
seeds,20,44,2,27,-6.079551696777344
seeds,20,44,2,28,-6.091450214385986
seeds,20,44,2,29,-6.096860408782959
seeds,20,44,2,30,-6.10041618347168
seeds,20,44,2,31,-6.110112190246582
seeds,20,44,2,32,-6.127401828765869
seeds,20,44,2,33,-6.145765781402588
seeds,20,44,2,34,-6.158790111541748
seeds,20,44,2,35,-6.166845321655273
seeds,20,44,2,36,-6.172053337097168
seeds,20,44,2,37,-6.174526691436768
seeds,20,44,2,38,-6.180268287658691
seeds,20,44,2,39,-6.196366310119629
seeds,20,44,2,40,-6.217593669891357
seeds,20,44,2,41,-6.2318830490112305
seeds,20,44,2,42,-6.235793113708496
seeds,20,44,2,43,-6.2370524406433105
seeds,20,44,2,44,-6.243899822235107
seeds,20,44,2,45,-6.256940841674805
seeds,20,44,2,46,-6.27009391784668
seeds,20,44,2,47,-6.276114463806152
