n_assets,penalty_label,shots,runs,Q_tau_final_median,Q_opt_final_median,Q_tau_initial_median,Q_opt_initial_median,Q_tau_uniform_all_median,Q_tau_uniform_F_median,Q_opt_uniform_all_median,Q_opt_uniform_F_median,final_beats_uniform_F_rate,final_beats_uniform_F_runs_opt,final_beats_uniform_F_runs_alt
12,10xAcrit,1000,105,0.9288854278877505,0.9242363357475745,0.854452520387839,0.8484653027613736,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.02857142857142857,3,3
12,10xAcrit,10000,105,0.9999999999966919,0.9999999999937682,0.9999999957337442,0.9999999936155888,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,3,3
12,Amargin,10,150,0.073590212271126,0.06980413145569148,0.024956568614356023,0.02468643713706853,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.08666666666666667,13,11
12,Amargin,100,150,0.5343796332855598,0.514985426012081,0.2233244894318368,0.2211700540820158,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.08666666666666667,13,11
12,Amargin,1000,150,0.999520949045995,0.999277863299179,0.9201276698243674,0.9178841549380307,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.08666666666666667,13,11
12,Amargin,10000,150,1.0,1.0,0.9999999999894321,0.999999999986058,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,13,11
12,Aheur,10,150,0.025965913770627014,0.025715055189360625,0.016845313318068766,0.01678098644797643,0.0024387257864690835,0.1415911014723728,0.0024387257864690835,0.1415911014723728,0.0,0,0
12,Aheur,100,150,0.23132708551978515,0.2293451490657588,0.15624072118121418,0.15568853766419177,0.02412135868711446,0.7827588415132014,0.02412135868711446,0.7827588415132014,0.0,0,0
12,Aheur,1000,150,0.9279857625927206,0.9261077032170231,0.8171108393531672,0.8159113527480935,0.21664588585949446,0.9999997658893877,0.21664588585949446,0.9999997658893877,0.0,0,0
12,Aheur,10000,150,0.9999999999962464,0.9999999999951472,0.9999999581096015,0.9999999553022743,0.9129875721552416,1.0,0.9129875721552416,1.0,0.0,0,0
16,1.1xAcrit,10,150,0.010752141288658701,0.010166221895402172,0.003617826696555748,0.0029463887054961835,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.22,32,35
16,1.1xAcrit,100,150,0.10246520122951935,0.09713510572478673,0.035594892834488134,0.029076283142487114,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.22,32,35
16,1.1xAcrit,1000,150,0.660747029467958,0.6400565166072167,0.3040205959595953,0.2555230728633103,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.22,32,35
16,1.1xAcrit,10000,150,0.9999797555677687,0.9999634398971416,0.9733252072583909,0.9476969622485106,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.18666666666666668,32,35
16,2xAcrit,10,150,0.008025262909396036,0.007599849036470097,0.003993039948517796,0.0030977822221945894,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.14666666666666667,26,22
16,2xAcrit,100,150,0.07741494095911772,0.07345137238355931,0.0392204845453506,0.03054952349125778,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.14666666666666667,26,22
16,2xAcrit,1000,150,0.5532198328172363,0.5336819577461589,0.32974882143367507,0.26674173334040563,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.14666666666666667,26,22
16,2xAcrit,10000,150,0.9996809180943516,0.9995137865537193,0.9817021742569956,0.9550594880524856,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.13333333333333333,26,22
16,5xAcrit,10,150,0.008733571248796257,0.008401203226758691,0.002683191185957279,0.0022576873880449377,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.04,6,4
16,5xAcrit,100,150,0.0839819943969306,0.08090604194586226,0.02651024019533188,0.02234887727318735,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.04,6,4
16,5xAcrit,1000,150,0.5840482252502128,0.5698706162059414,0.23561191440850365,0.20230100603329926,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.04,6,4
16,5xAcrit,10000,150,0.9998448622485756,0.999783234000165,0.9319007239213437,0.8956742474026675,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.02666666666666667,6,4
