n_assets,backend,p_layers,step,expectation
24,lightning_gpu,2,44,-8.482888221740723
24,lightning_gpu,2,45,-8.472994804382324
24,lightning_gpu,2,46,-8.480615615844727
24,lightning_gpu,2,47,-8.496198654174805
24,lightning_gpu,2,48,-8.501372337341309
24,lightning_gpu,2,49,-8.491986274719238
28,lightning_gpu,2,0,0.5723486542701721
28,lightning_gpu,2,1,-1.2998331785202026
28,lightning_gpu,2,2,-1.6779053211212158
28,lightning_gpu,2,3,-3.0240540504455566
28,lightning_gpu,2,4,-4.574280738830566
28,lightning_gpu,2,5,-5.627890586853027
28,lightning_gpu,2,6,-6.3374199867248535
28,lightning_gpu,2,7,-7.157687664031982
28,lightning_gpu,2,8,-8.010397911071777
28,lightning_gpu,2,9,-8.44447135925293
28,lightning_gpu,2,10,-8.401902198791504
28,lightning_gpu,2,11,-8.223213195800781
28,lightning_gpu,2,12,-8.13473129272461
28,lightning_gpu,2,13,-8.225489616394043
28,lightning_gpu,2,14,-8.522175788879395
28,lightning_gpu,2,15,-8.879687309265137
28,lightning_gpu,2,16,-8.936931610107422
28,lightning_gpu,2,17,-8.752108573913574
28,lightning_gpu,2,18,-8.83218765258789
28,lightning_gpu,2,19,-9.045650482177734
28,lightning_gpu,2,20,-9.093839645385742
28,lightning_gpu,2,21,-9.00697135925293
28,lightning_gpu,2,22,-8.940979957580566
28,lightning_gpu,2,23,-8.97244644165039
28,lightning_gpu,2,24,-9.09792423248291
28,lightning_gpu,2,25,-9.255926132202148
28,lightning_gpu,2,26,-9.345483779907227
28,lightning_gpu,2,27,-9.309964179992676
28,lightning_gpu,2,28,-9.243210792541504
28,lightning_gpu,2,29,-9.278672218322754
28,lightning_gpu,2,30,-9.389498710632324
28,lightning_gpu,2,31,-9.462613105773926
28,lightning_gpu,2,32,-9.457423210144043
28,lightning_gpu,2,33,-9.419206619262695
28,lightning_gpu,2,34,-9.40520191192627
28,lightning_gpu,2,35,-9.436448097229004
28,lightning_gpu,2,36,-9.49152946472168
28,lightning_gpu,2,37,-9.525224685668945
28,lightning_gpu,2,38,-9.511462211608887
28,lightning_gpu,2,39,-9.479758262634277
28,lightning_gpu,2,40,-9.481346130371094
28,lightning_gpu,2,41,-9.516440391540527
28,lightning_gpu,2,42,-9.541585922241211
28,lightning_gpu,2,43,-9.53581714630127
28,lightning_gpu,2,44,-9.5194730758667
28,lightning_gpu,2,45,-9.518880844116211
28,lightning_gpu,2,46,-9.536307334899902
28,lightning_gpu,2,47,-9.55189323425293
28,lightning_gpu,2,48,-9.548250198364258
28,lightning_gpu,2,49,-9.533958435058594
30,lightning_gpu,2,0,1.8471043109893799
30,lightning_gpu,2,1,-0.9524502158164978
30,lightning_gpu,2,2,-0.8449021577835083
30,lightning_gpu,2,3,-1.9570153951644897
30,lightning_gpu,2,4,-3.7294931411743164
30,lightning_gpu,2,5,-5.325725555419922
30,lightning_gpu,2,6,-6.181891441345215
30,lightning_gpu,2,7,-6.93275260925293
30,lightning_gpu,2,8,-7.837259769439697
30,lightning_gpu,2,9,-8.402910232543945
30,lightning_gpu,2,10,-8.472817420959473
30,lightning_gpu,2,11,-8.457152366638184
30,lightning_gpu,2,12,-8.603448867797852
30,lightning_gpu,2,13,-8.815404891967773
30,lightning_gpu,2,14,-8.841968536376953
30,lightning_gpu,2,15,-8.66319465637207
30,lightning_gpu,2,16,-8.54338550567627
30,lightning_gpu,2,17,-8.557348251342773
30,lightning_gpu,2,18,-8.597944259643555
30,lightning_gpu,2,19,-8.615775108337402
30,lightning_gpu,2,20,-8.62254524230957
30,lightning_gpu,2,21,-8.630353927612305
30,lightning_gpu,2,22,-8.642106056213379
30,lightning_gpu,2,23,-8.6653413772583
30,lightning_gpu,2,24,-8.716178894042969
30,lightning_gpu,2,25,-8.808119773864746
30,lightning_gpu,2,26,-8.936491012573242
30,lightning_gpu,2,27,-9.072477340698242
30,lightning_gpu,2,28,-9.176694869995117
30,lightning_gpu,2,29,-9.224047660827637
30,lightning_gpu,2,30,-9.2214937210083
30,lightning_gpu,2,31,-9.19887924194336
30,lightning_gpu,2,32,-9.181291580200195
30,lightning_gpu,2,33,-9.171063423156738
30,lightning_gpu,2,34,-9.157604217529297
