n_assets,instance,penalty_label,penalty,n_select,delta_F,max_abs_Q,max_abs_Q_objective,max_abs_Q_penalty,qubo_ratio_objective_over_max,s_H,s_H_objective_only,s_H_penalty_only,ising_ratio_objective_over_s_H,epsilon_F,delta_F_over_A
12,13,Amargin,0.13425985034540147,2,0.773975113259836,0.8061502667768421,0.5376305660860391,0.4027795510362045,0.6669111060839797,1.1407731025266896,0.603733701145084,0.5370394013816059,0.5292320618428668,0.6784654297559826,5.764754774183654
12,14,Aheur,12.999999999983347,2,0.7840751922623391,39.19928490702535,0.37286828090214547,38.99999999995004,0.009512119463059885,52.46756320069909,0.46756320076570124,51.99999999993338,0.00891147162632991,0.014943998623741914,0.060313476327949506
12,14,Amargin,0.18388234511847354,2,0.7840751922623391,0.7509319424307322,0.37286828090214547,0.5516470353554206,0.4965407113928167,1.2030925812395954,0.46756320076570124,0.7355293804738943,0.388634431012742,0.651716421902024,4.264004745845325
12,14,1.1xAcrit,0.03831354094865024,2,0.7840751922623391,0.44949536279944596,0.37286828090214547,0.11494062284595075,0.8295264239878496,0.6208173645603022,0.46756320076570124,0.153254163794601,0.7531413060536021,1.2629723925613217,20.464701848184603
12,15,Aheur,12.999999999976737,2,0.850898563547299,39.25240389206402,0.49438756455087396,38.99999999993021,0.012595090122641595,52.64769578991954,0.6476957900125957,51.99999999990695,0.012302452753053061,0.0161621235417908,0.06545373565760167
12,15,Amargin,0.2427475292152443,2,0.850898563547299,0.9806464797795407,0.49438756455087396,0.7282425876457329,0.5041445360228258,1.6186859068735728,0.6476957900125957,0.9709901168609774,0.4001367944591513,0.52567243585309,3.5052820776305698
12,15,1.1xAcrit,0.05503718281970264,2,0.850898563547299,0.6044619301902793,0.49438756455087396,0.16511154845910792,0.8178969424844426,0.8678445212914063,0.6476957900125957,0.22014873127881063,0.7463269907480482,0.9804735095649498,15.460430929663929
12,16,Aheur,12.999999999962393,2,0.8828118959897276,39.19018122684205,0.5184148620885639,38.99999999988718,0.013228182311478886,52.92919509231223,0.9291950924626569,51.99999999984958,0.01755543591475509,0.0166791105447578,0.06790860738402166
12,16,Amargin,0.33751124654075176,2,0.8828118959897276,1.2027149665771248,0.5184148620885639,1.0125337396222553,0.4310371754697211,2.279240078625664,0.9291950924626569,1.3500449861630073,0.4076775856902898,0.38732729573711494,2.61565178949714
12,16,1.1xAcrit,0.10407023552385707,2,0.8828118959897276,0.7265553331362781,0.5184148620885639,0.3122107065715712,0.7135242677949295,1.3454760345580852,0.9291950924626569,0.4162809420954283,0.6906069440083682,0.6561334972270114,8.482847103650032
12,17,Aheur,12.999999999965603,2,1.0185626078341847,39.389481345104166,0.4613530170312726,38.99999999989681,0.011712594359626306,52.70546847066459,0.705468470802181,51.999999999862425,0.013385109577288714,0.01932555837922412,0.07835096983360613
12,17,Amargin,0.22336038026329874,2,1.0185626078341847,1.0595624859972532,0.4613530170312726,0.6700811407898963,0.43541841385319546,1.598909991855376,0.705468470802181,0.8934415210531951,0.4412183765163385,0.6370356136509249,4.560175831691798
12,18,Aheur,12.999999999979208,2,0.7615099732954004,39.126471359330694,0.2771470388138727,38.99999999993762,0.0070833640035821935,52.39662116152673,0.3966211616098973,51.99999999991684,0.007569594237521643,0.014533570226748787,0.05857769025358603
12,18,Amargin,0.1269814771766112,2,0.7615099732954004,0.5074157909229026,0.2771470388138727,0.3809444315298336,0.5461931689390068,0.9045470703163421,0.3966211616098973,0.5079259087064449,0.4384748728125218,0.8418688184232158,5.997016180842345
12,19,Aheur,12.99999999998611,2,0.49957785657085463,39.13692355386821,0.3297733521860579,38.999999999958334,0.00842614396433477,52.467655261995645,0.4676552620512062,51.99999999994445,0.0089132106193041,0.009521634882981292,0.0384290658901068
12,19,Amargin,0.11350745476628496,2,0.49957785657085463,0.5567882617186278,0.3297733521860579,0.34052236429885485,0.5922778457436454,0.921685081116346,0.4676552620512062,0.4540298190651399,0.5073915935416701,0.5420266279733696,4.401277938964445
12,20,Aheur,12.999999999979208,2,0.9075090284726293,39.27392411706114,0.2740066283117205,38.99999999993762,0.00697680800866772,52.376125142286824,0.37612514236999545,51.99999999991684,0.007181232696160715,0.0173267691339758,0.06980838680569852
12,20,Amargin,0.18119581183300792,2,0.9075090284726293,0.8175115526225448,0.2740066283117205,0.5435874354990238,0.33517156721849134,1.1009083897020273,0.37612514236999545,0.7247832473320317,0.34164981018247825,0.8243274708064096,5.0084437343894
12,21,Aheur,12.999999999975014,2,1.0367050408156468,39.246770046483086,0.421370927467257,38.99999999992504,0.0107364485527903,52.797960290366895,0.7979602904668341,51.99999999990006,0.015113468135480677,0.019635323696487496,0.07974654160135689
12,21,Amargin,0.3003595355914736,2,1.0367050408156468,1.147848653332467,0.421370927467257,0.9010786067744208,0.36709624238693916,1.9993984328327283,0.7979602904668341,1.2014381423658946,0.3991001880181989,0.5185084792463567,3.451546956130918
12,21,1.1xAcrit,0.07985096332759496,2,1.0367050408156468,0.5810728541224469,0.421370927467257,0.2395528899827849,0.7251602350339075,1.1173641437772137,0.7979602904668341,0.3194038533103799,0.714145245228073,0.9278130559220369,12.98299979879368
12,22,Aheur,12.999999999979208,2,0.7019830972905491,39.17133669836945,0.46127650039295737,38.99999999993762,0.01177586825654991,52.65766289015039,0.6576628902335576,51.99999999991684,0.012489405228741616,0.013331072037035941,0.05399869979166706
12,22,Amargin,0.20313698953409567,2,0.7019830972905491,0.8675504794611487,0.46127650039295737,0.609410968602287,0.531699896793861,1.4702108483699403,0.6576628902335576,0.8125479581363828,0.44732555943436614,0.47747103625908854,3.455712811834913
12,22,1.1xAcrit,0.05508303645947663,2,0.7019830972905491,0.5714425733119106,0.46127650039295737,0.1652491093784299,0.8072140962818651,0.8779950360714641,0.6576628902335576,0.22033214583790658,0.749050806911427,0.799529688039616,12.744088605336463
12,23,Aheur,12.999999999976737,2,0.8983777710147594,39.0982661313966,0.4823924870798102,38.99999999993021,0.01233795088146992,52.922866074530525,0.9228660746235778,51.99999999990695,0.01743794588380604,0.016975229001195562,0.06910598238587438
12,23,Amargin,0.25807042649381606,2,0.8983777710147594,0.9985333400674423,0.4823924870798102,0.7742112794814482,0.48310103200683185,1.955147780598842,0.9228660746235778,1.0322817059752643,0.47201857771636746,0.4594935379972123,3.4811341354383605
12,23,1.1xAcrit,0.05708730249659597,2,0.8983777710147594,0.5965670920730022,0.4823924870798102,0.17126190748978792,0.8086139740017366,1.1512152846099617,0.9228660746235778,0.22834920998638392,0.8016450849471218,0.7803733871715705,15.736910516455533
12,24,Aheur,12.999999999976737,2,1.0100916874691364,39.2128347963522,0.4511426943582029,38.99999999993021,0.011504975263868728,52.734461491251764,0.7344614913448105,51.99999999990695,0.013927543215107108,0.019154299843124455,0.07769936057468799
12,24,Amargin,0.2812680316425777,2,1.0100916874691364,1.0566388913497209,0.4511426943582029,0.843804094927733,0.4269601450898006,1.8595336179151214,0.7344614913448105,1.125072126570311,0.39497080572723214,0.5431962497142884,3.591206869726005
12,24,1.1xAcrit,0.08042403910174535,2,1.0100916874691364,0.6119907725616937,0.4511426943582029,0.2412721173052361,0.7371723800177462,1.056157647751792,0.7344614913448105,0.3216961564069814,0.6954089599296417,0.9563834429635436,12.559574211278521
12,25,Aheur,12.99999999998611,2,0.6679895652056258,39.13940102910428,0.5376305660860391,38.999999999958334,0.01373630029969682,52.49360185006062,0.4936018501161849,51.99999999994445,0.009403085951809475,0.012725161575188318,0.05138381270817996
12,25,Amargin,0.20960145643942812,2,0.6679895652056258,0.9568334789648953,0.5376305660860391,0.6288043693182843,0.5618851951832299,1.3320076758738972,0.4936018501161849,0.8384058257577127,0.37056982407578465,0.5014907776468889,3.1869509713958757
12,25,1.1xAcrit,0.05646343685420278,2,0.6679895652056258,0.6505574397944447,0.5376305660860391,0.16939031056260834,0.8264152143981524,0.7194555975329961,0.4936018501161849,0.22585374741681116,0.6860768778625661,0.9284653111271263,11.830480084492146
12,26,Aheur,12.99999999998611,2,0.4122828707903301,39.13692355386821,0.37799724201278095,38.999999999958334,0.009658327934041727,52.44409812034915,0.4440981204047076,51.99999999994445,0.00846802855462568,0.0078613778397756,0.03171406698390543
12,26,Amargin,0.15920799778633007,2,0.4122828707903301,0.696413237585441,0.37799724201278095,0.47762399335899025,0.5427772213568894,1.0809301115500278,0.4440981204047076,0.6368319911453204,0.4108481350083601,0.3814149188601346,2.589586431101576
12,26,1.1xAcrit,0.07358246297493908,2,0.4122828707903301,0.5251621679626591,0.37799724201278095,0.2207473889248172,0.7197724152126241,0.7384279723044637,0.4440981204047076,0.29432985189975636,0.601410207983833,0.5583250990664536,5.603004494844737
12,27,Aheur,12.999999999983347,2,0.7002182592257978,39.080525775296756,0.5282318716380896,38.99999999995004,0.01351649859255453,52.8474387290367,0.8474387291033183,51.99999999993338,0.01603556860055922,0.013249805024913481,0.05386294301743806
