n_assets,n_select,feasible_set_size,band_kind,band_pct,n_within,frac_within,sharpe_optimum,sharpe_min,sharpe_p25,sharpe_median,sharpe_p75,sharpe_max,sharpe_spread_pct
20,4,4845,reported_gap,1.0,4845,1.0,1.4732051545372367,-0.09368478089806719,0.707151474241539,0.9123962037531105,1.090063910064199,1.539044658265469,110.8283821934094
20,4,4845,objective_range,1.0,4,0.000825593395252838,1.4732051545372367,1.4360383792399114,1.4569201251791446,1.4656983595333062,1.4689382975651017,1.4732051545372367,2.5228512935118053
20,4,4845,objective_range,5.0,24,0.004953560371517028,1.4732051545372367,1.173115982837503,1.2443386705317794,1.3565005818430447,1.4425347655536707,1.498506609477795,22.087258223210853
20,4,4845,objective_range,10.0,94,0.01940144478844169,1.4732051545372367,0.9909181364722017,1.1757598305406027,1.2814209978454079,1.369007015234355,1.539044658265469,37.2063945136986
24,4,10626,reported_gap,0.01,9,0.0008469791078486731,1.4732051545372367,1.1972622147545158,1.432938341920896,1.4620239244949482,1.4638807071588888,1.4732051545372367,18.73078837206486
24,4,10626,reported_gap,0.05,128,0.01204592508940335,1.4732051545372367,0.9909181364722017,1.1549819067604994,1.274867383954832,1.3557007865787551,1.539044658265469,37.2063945136986
24,4,10626,reported_gap,0.1,998,0.09392057218144174,1.4732051545372367,0.5387211899067439,1.016432977608092,1.1330159140849796,1.2596768761246564,1.539044658265469,67.90116537930163
24,4,10626,reported_gap,0.2,6069,0.5711462450592886,1.4732051545372367,0.027749579229096776,0.7597177020852269,0.9428165673239051,1.1082392545886564,1.539044658265469,102.58551393075328
24,4,10626,reported_gap,0.5,10626,1.0,1.4732051545372367,-0.15394380337031002,0.6561618944633745,0.8626746852716544,1.042603933230319,1.539044658265469,114.91871695002185
24,4,10626,reported_gap,1.0,10626,1.0,1.4732051545372367,-0.15394380337031002,0.6561618944633745,0.8626746852716544,1.042603933230319,1.539044658265469,114.91871695002185
24,4,10626,objective_range,1.0,4,0.0003764351590438547,1.4732051545372367,1.4360383792399114,1.4569201251791446,1.4656983595333062,1.4689382975651017,1.4732051545372367,2.5228512935118053
24,4,10626,objective_range,5.0,25,0.002352719744024092,1.4732051545372367,1.173115982837503,1.2458423085081447,1.3611358083987704,1.4360383792399114,1.498506609477795,22.087258223210853
24,4,10626,objective_range,10.0,119,0.011198945981554678,1.4732051545372367,0.9909181364722017,1.1584186960367906,1.2814854607446697,1.361181561965004,1.539044658265469,37.2063945136986
28,5,98280,reported_gap,0.01,19,0.00019332519332519333,1.6658055803404568,1.3943424463041738,1.4437219575337457,1.5892913541114013,1.618580508846512,1.6658055803404568,16.29620750704902
28,5,98280,reported_gap,0.05,1101,0.011202686202686203,1.6658055803404568,0.8949175729368646,1.2487583064327152,1.3466754056567947,1.4454126670730179,1.7066841187185204,48.73116979328088
28,5,98280,reported_gap,0.1,13737,0.13977411477411478,1.6658055803404568,0.4278127041337695,1.0151484736739838,1.154873895146166,1.2851700926606269,1.7066841187185204,76.77194924052156
28,5,98280,reported_gap,0.2,79377,0.8076617826617827,1.6658055803404568,-0.05835036911907255,0.7956747229581012,0.9733867054557986,1.1361530843988288,1.7066841187185204,105.9568120474693
28,5,98280,reported_gap,0.5,98280,1.0,1.6658055803404568,-0.05835036911907255,0.7732475870151538,0.9544601960916332,1.1180652675088487,1.7066841187185204,105.9568120474693
28,5,98280,reported_gap,1.0,98280,1.0,1.6658055803404568,-0.05835036911907255,0.7732475870151538,0.9544601960916332,1.1180652675088487,1.7066841187185204,105.9568120474693
28,5,98280,objective_range,1.0,4,4.07000407000407e-05,1.6658055803404568,1.4220746632271843,1.4718200843729892,1.54900697870505,1.6236604445764962,1.6658055803404568,14.631414373306326
28,5,98280,objective_range,5.0,75,0.0007631257631257631,1.6658055803404568,1.287427073098953,1.4070917217185368,1.4884018914215906,1.5679979428552109,1.6658055803404568,22.714445893750153
28,5,98280,objective_range,10.0,579,0.005891330891330891,1.6658055803404568,0.9778495271854393,1.3036796067150052,1.3833032186159095,1.487460881088086,1.7066841187185204,43.75268039287767
30,6,593775,reported_gap,0.01,22,3.705107153383016e-05,1.552609162714545,1.2666277901164604,1.3670338122602734,1.4850892033109493,1.5264167781868967,1.5695493157900764,19.510481642655975
30,6,593775,reported_gap,0.05,8649,0.014566123531640773,1.552609162714545,0.6822129305813089,1.1407794753577027,1.2512166514001037,1.3587751345465695,1.695433411052373,65.25921041838845
30,6,593775,reported_gap,0.1,146484,0.24669950738916255,1.552609162714545,0.17160055271088737,0.9236121182147393,1.0689632588280746,1.2046176678069143,1.695433411052373,98.14658414595804
30,6,593775,reported_gap,0.2,562148,0.9467357163908888,1.552609162714545,0.019375997077534148,0.8110838864432931,0.9719700074361711,1.1200412016693744,1.695433411052373,107.95101911188387
30,6,593775,reported_gap,0.5,593775,1.0,1.552609162714545,0.019375997077534148,0.8121075530625622,0.9719009029205273,1.118524663000152,1.695433411052373,107.95101911188387
30,6,593775,reported_gap,1.0,593775,1.0,1.552609162714545,0.019375997077534148,0.8121075530625622,0.9719009029205273,1.118524663000152,1.695433411052373,107.95101911188387
30,6,593775,objective_range,1.0,5,8.42069807587049e-06,1.552609162714545,1.3606101128707335,1.4916331335473867,1.5354309528316288,1.5372831520274428,1.552609162714545,12.3662190366135
30,6,593775,objective_range,5.0,154,0.00025935750073681106,1.552609162714545,1.1509272858625315,1.3283266888034715,1.419334892063928,1.50876334725333,1.6730141890226615,33.62642161967702
30,6,593775,objective_range,10.0,2099,0.0035350090522504314,1.552609162714545,0.8647063614493814,1.2279793800021315,1.319454049820874,1.4208022444674988,1.6865507114370286,52.933112191013606
