n_assets,n_select,feasible_set_size,solution,rank,rank_ties,solution_index,f,f_star,delta_F,penalty_label,penalty,threshold,threshold_kind,threshold_binding_m,a_margin,a_margin_target,a_heur,E_A,E_A_star,abs_E_star,g_off,g_F,deflation_D,c_max_all_states,c_max_cardinality,c_max_proven,r_all,r_all_of_worst_feasible
24,4,10626,optimum,1,1,2129954,-0.152321442563212,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-400.15232144189787,-400.15232144189787,400.15232144189787,0.0,0.0,207.37074847805155,9630.46854634018,24,False,1.0,0.9998076243810848
24,4,10626,rank_2,2,1,2097250,-0.1428670914133392,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-400.142867090748,-400.15232144189787,400.15232144189787,2.3626880673352735e-05,0.004899523929434768,207.37074847805155,9630.46854634018,24,False,0.9999990574510517,0.9998076243810848
24,4,10626,rank_5,5,1,2228290,-0.1320029702896517,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-400.1320029696243,-400.15232144189787,400.15232144189787,5.077684467840969e-05,0.010529632286315588,207.37074847805155,9630.46854634018,24,False,0.9999979743554719,0.9998076243810848
24,4,10626,rank_10,10,1,102,-0.09614319361431845,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-400.09614319294894,-400.15232144189787,400.15232144189787,0.00014039216053142564,0.029113227409852505,207.37074847805155,9630.46854634018,24,False,0.9999943993248583,0.9998076243810848
24,4,10626,rank_50,50,1,1048618,-0.020380174678653495,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-400.0203801740133,-400.15232144189787,400.15232144189787,0.000329727608249591,0.06837586091659545,207.37074847805155,9630.46854634018,24,False,0.9999868461514374,0.9998076243810848
24,4,10626,rank_100,100,1,2097159,0.030566579595361798,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-399.9694334197393,-400.15232144189787,400.15232144189787,0.0004570460106280532,0.0947779733128469,207.37074847805155,9630.46854634018,24,False,0.9999817670287244,0.9998076243810848
24,4,10626,rank_1000,1000,1,163858,0.2484046496789467,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-399.7515953496557,-400.15232144189787,400.15232144189787,0.0010014338809736087,0.2076680934487772,207.37074847805155,9630.46854634018,24,False,0.9999600497219938,0.9998076243810848
24,4,10626,median,5314,1,598018,0.5973253054732599,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-399.4026746938614,-400.15232144189787,400.15232144189787,0.001873403471296169,0.38848908004406657,207.37074847805155,9630.46854634018,24,False,0.9999252641727848,0.9998076243810848
24,4,10626,worst_feasible,10626,1,10369,1.7773254549800575,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-398.2226745443546,-400.15232144189787,400.15232144189787,0.004822280901907636,1.0,207.37074847805155,9630.46854634018,24,False,0.9998076243810848,0.9998076243810848
24,4,10626,published_qaoa,43,1,2097474,-0.027492104092715075,-0.152321442563212,1.9296468975432695,Aheur,24.999999999958415,0.11478915431353509,A_safe (bounded outside K±2; upper bound on A_crit),3,nan,nan,24.999999999958415,-400.02749210342733,-400.15232144189787,400.15232144189787,0.00031195455275803555,0.06469024909656966,207.37074847805155,9630.46854634018,24,False,0.9999875551732923,0.9998076243810848
28,5,98280,optimum,1,1,151027778,-0.16760980693372507,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-4.723681948767938,-4.723681948767938,4.723681948767938,0.0,0.0,1.5623411366556617,133.26101667688812,28,False,1.0,0.97808841211688
28,5,98280,rank_2,2,1,150995014,-0.15414552092554457,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-4.710217662759757,-4.723681948767938,4.723681948767938,0.0028503794612362394,0.0044532650873677785,1.5623411366556617,133.26101667688812,28,False,0.9999024218906714,0.97808841211688
28,5,98280,rank_5,5,1,151027842,-0.13490500173717712,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-4.6909771435713905,-4.723681948767938,4.723681948767938,0.0069235832452856465,0.010816998917169671,1.5623411366556617,133.26101667688812,28,False,0.9997629823775949,0.97808841211688
