sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,20,42,2,34,-0.885412118346397
seeds,20,42,2,35,-0.8851088418973516
seeds,20,42,2,36,-0.89200450069275
seeds,20,42,2,37,-0.898727619562961
seeds,20,42,2,38,-0.8971681834068328
seeds,20,42,2,39,-0.8911373489903968
seeds,20,42,2,40,-0.8969143870071302
seeds,20,42,2,41,-0.9120497040891004
seeds,20,42,2,42,-0.9158888836351524
seeds,20,42,2,43,-0.9065889000007205
seeds,20,42,2,44,-0.9015748029263535
seeds,20,42,2,45,-0.9049057415649971
seeds,20,42,2,46,-0.9084196259938114
seeds,20,42,2,47,-0.909922377668731
seeds,20,42,2,48,-0.9099361340009231
seeds,20,42,2,49,-0.9088755046669124
seeds,20,43,2,0,0.375719843686621
seeds,20,43,2,1,-1.657919246844545
seeds,20,43,2,2,-0.8626629357899328
seeds,20,43,2,3,-0.9073361361709061
seeds,20,43,2,4,-1.4630461434114135
seeds,20,43,2,5,-1.6011747747268703
seeds,20,43,2,6,-1.485190586140612
seeds,20,43,2,7,-1.403882459743613
seeds,20,43,2,8,-1.4156376661708467
seeds,20,43,2,9,-1.488259617786022
seeds,20,43,2,10,-1.556897473465927
seeds,20,43,2,11,-1.607805312198637
seeds,20,43,2,12,-1.6623425959707414
seeds,20,43,2,13,-1.6925419445754666
seeds,20,43,2,14,-1.6579164852412147
seeds,20,43,2,15,-1.59786262361544
seeds,20,43,2,16,-1.5962274495104378
seeds,20,43,2,17,-1.6656791570748046
seeds,20,43,2,18,-1.738728931157337
seeds,20,43,2,19,-1.7573343890237487
seeds,20,43,2,20,-1.7291007647000565
seeds,20,43,2,21,-1.6977832568789044
seeds,20,43,2,22,-1.6882255572755045
seeds,20,43,2,23,-1.6950907274988236
seeds,20,43,2,24,-1.706708930641355
seeds,20,43,2,25,-1.720880982620422
seeds,20,43,2,26,-1.738678304183532
seeds,20,43,2,27,-1.7538929231991034
seeds,20,43,2,28,-1.7558676821114547
seeds,20,43,2,29,-1.7429347687634824
seeds,20,43,2,30,-1.727977465991843
seeds,20,43,2,31,-1.725233083376134
seeds,20,43,2,32,-1.7348245284038424
seeds,20,43,2,33,-1.7462077057746705
seeds,20,43,2,34,-1.7525447331293083
seeds,20,43,2,35,-1.7548960092088368
seeds,20,43,2,36,-1.7552622084749645
seeds,20,43,2,37,-1.7528779463130064
seeds,20,43,2,38,-1.7481202941856124
seeds,20,43,2,39,-1.7453143491518732
seeds,20,43,2,40,-1.7483196720757854
seeds,20,43,2,41,-1.755072228663427
seeds,20,43,2,42,-1.759989289862317
seeds,20,43,2,43,-1.7608971895636718
seeds,20,43,2,44,-1.7602327974179433
seeds,20,43,2,45,-1.7600446414613453
seeds,20,43,2,46,-1.7598395167591319
seeds,20,43,2,47,-1.7598849705430217
seeds,20,43,2,48,-1.7622677895312993
seeds,20,43,2,49,-1.7670347997398448
seeds,20,44,2,0,-3.1468354707346484
seeds,20,44,2,1,-5.2199754341445415
seeds,20,44,2,2,-5.827714963592664
seeds,20,44,2,3,-5.989581489174562
seeds,20,44,2,4,-5.979866372713645
seeds,20,44,2,5,-5.879216968147796
seeds,20,44,2,6,-5.736559135182899
seeds,20,44,2,7,-5.6429561916892395
seeds,20,44,2,8,-5.702618029689391
seeds,20,44,2,9,-5.83468878755676
seeds,20,44,2,10,-5.920521289493159
seeds,20,44,2,11,-5.935151571080108
seeds,20,44,2,12,-5.914506791510945
seeds,20,44,2,13,-5.8932636017479885
seeds,20,44,2,14,-5.884402487658968
seeds,20,44,2,15,-5.890237591038905
seeds,20,44,2,16,-5.916691923145979
seeds,20,44,2,17,-5.966295912817733
seeds,20,44,2,18,-6.022447933270991
seeds,20,44,2,19,-6.058948924877871
seeds,20,44,2,20,-6.063711549849668
seeds,20,44,2,21,-6.048373493651426
seeds,20,44,2,22,-6.036650765155309
seeds,20,44,2,23,-6.039948068589314
seeds,20,44,2,24,-6.0494885683128015
seeds,20,44,2,25,-6.056772085563138
