subset,n_assets,treatment,control,field,pairs,pairs_without_feasible_shot,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_tied,direction
without seed 43,16,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.19431581065428954,0.15429103329096513,0.22240988881133594,30,0,better
without seed 43,16,Amargin,Aheur,g_F,120,0,30,0.0,-0.006124733600200401,0.004033775215946976,14,5,equal
without seed 43,16,Amargin,Aheur,g_off,120,0,30,0.003657138960966977,0.0015689219464831707,0.006068308031709214,5,2,worse
without seed 43,20,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.11219667157226118,0.0829075779006537,0.12979347831996924,30,0,better
without seed 43,20,Amargin,Aheur,g_F,120,0,30,-0.016510458187172734,-0.0315843062230854,-0.008409748217387011,26,0,better
without seed 43,20,Amargin,Aheur,g_off,120,0,30,0.007189909917372319,0.004463887500284007,0.009737107869583565,1,0,worse
without seed 44,12,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.039999230693033655,0.010135984567611608,0.057243726225220865,24,0,better
without seed 44,12,Amargin,Aheur,g_F,120,0,30,0.0,0.0,0.0,5,22,equal
without seed 44,12,Amargin,Aheur,g_off,120,0,30,0.0,0.0,0.0,3,18,equal
without seed 44,16,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.021955168471741282,0.01671310698826381,0.029427643805943426,27,0,better
without seed 44,16,Amargin,Aheur,g_F,99,21,30,0.0,-0.0014499622669533543,0.0013264650170858661,10,10,equal
without seed 44,16,Amargin,Aheur,g_off,99,21,30,0.0066927647006521365,0.0004763455121505927,0.012952606222287203,2,8,worse
without seed 44,20,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.11219667157226118,0.0829075779006537,0.12979347831996924,30,0,better
without seed 44,20,Amargin,Aheur,g_F,119,1,30,-0.02707126181025407,-0.0440002984862128,-0.019955661097406208,28,0,better
without seed 44,20,Amargin,Aheur,g_off,119,1,30,0.007931785886994737,0.004713096310450844,0.010170612693702605,1,0,worse
without seed 45,12,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.03132156683764331,0.005849317179369179,0.040699699957905205,29,0,better
without seed 45,12,Amargin,Aheur,g_F,120,0,30,0.0,0.0,0.0,3,26,equal
without seed 45,12,Amargin,Aheur,g_off,120,0,30,0.0,0.0,0.0,1,25,equal
without seed 45,16,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.21740149906108444,0.1724588222375315,0.22802999800016194,30,0,better
without seed 45,16,Amargin,Aheur,g_F,99,21,30,0.0,-0.00848651395280828,0.0,14,11,equal
without seed 45,16,Amargin,Aheur,g_off,99,21,30,0.0003907868772721782,0.0,0.004599342515353211,7,8,worse
without seed 45,20,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.04497646482678355,0.03880275205575784,0.06476659624163544,30,0,better
without seed 45,20,Amargin,Aheur,g_F,119,1,30,-0.012568377236580296,-0.02050016243122424,-0.007162823370982575,22,0,better
without seed 45,20,Amargin,Aheur,g_off,119,1,30,0.011124646965914003,0.008907536868839421,0.013520163872225427,0,0,worse
without seed 46,12,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.034749014141292084,0.007967598273245082,0.055887279833708,24,0,better
without seed 46,12,Amargin,Aheur,g_F,120,0,30,0.0,0.0,0.0,5,22,equal
without seed 46,12,Amargin,Aheur,g_off,120,0,30,0.0,0.0,0.0,3,18,equal
without seed 46,16,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.021955168471741282,0.01671310698826381,0.029427643805943426,27,0,better
without seed 46,16,Amargin,Aheur,g_F,99,21,30,0.0,-0.013163119663137036,0.0013264650170858661,12,8,equal
without seed 46,16,Amargin,Aheur,g_off,99,21,30,0.0066927647006521365,0.0027268862208684377,0.01255427021797071,3,4,worse
without seed 46,20,Amargin,Aheur,final_Q_tau_main_1000,120,0,30,0.04423312720477182,0.03959924558457309,0.06147999754456329,30,0,better
without seed 46,20,Amargin,Aheur,g_F,119,1,30,-0.011549511820176052,-0.03252941795088285,0.0007365421942869023,20,0,better
without seed 46,20,Amargin,Aheur,g_off,119,1,30,0.010541682624541034,0.009184440978218376,0.01371038288988988,0,0,worse
