n_assets,n_select,instance,is_published_instance,instance_digest,feasible_set_size,energy_optimum,objective_optimum,objective_range,abs_energy_optimum,deflation_factor,sharpe_optimum,band_pct,band_count,band_fraction,band_sharpe_min,band_sharpe_max,band_sharpe_spread_pct,penalty_used,penalty_min,penalty_overshoot,penalty_binding_cardinality,penalty_binding_is_exact,quantum_backend,energy_quantum,quantum_feasible,quantum_runtime_s,reported_gap_pct,gap_of_objective_range_pct,quantum_rank,sharpe_quantum,sharpe_delta_pct
12,2,21,False,ed8a0c9eddfb,66,-52.17417826161483,-0.17417826171477202,1.0367050408156473,52.17417826161483,50.326926374898115,1.3951242001054784,0.1,2,0.030303030303030304,1.2910627693896675,1.3951242001054784,7.458936681618984,12.999999999975014,0.07259178484326814,179.08362534470152,1,True,lightning_gpu,-52.17417826161483,True,9.81990410014987,0.0,0.0,1,1.3951242001054784,0.0
12,2,22,False,b740925c5cfd,66,-52.121261210658226,-0.12126121074139462,0.7019830972905439,52.121261210658226,74.24859859422762,1.0443195951642468,0.1,3,0.045454545454545456,0.9936052532103946,1.1961866591936896,19.398410881243088,12.999999999979208,0.05007548769043331,259.6080557486572,1,True,lightning_gpu,-52.121261210658226,True,9.849265300668776,0.0,0.0,1,1.0443195951642468,0.0
12,2,23,False,26e4ddb881e2,66,-52.046368583649155,-0.04636858374220765,0.8983777710147578,52.046368583649155,57.933722608541906,1.0952366405266443,0.1,2,0.030303030303030304,1.0952366405266443,1.2085389500304209,10.345007216823502,12.999999999976737,0.05189754772417818,250.4935313912773,1,True,lightning_gpu,-52.046368583649155,True,9.862561149522662,0.0,0.0,1,1.0952366405266443,0.0
12,2,24,False,be3c2eb02782,66,-52.139722033509166,-0.1397220336022187,1.010091687469135,52.139722033509166,51.6188012240249,1.3199892053554563,0.1,2,0.030303030303030304,1.2910627693896675,1.3199892053554563,2.1914145849396767,12.999999999976737,0.07311276281976858,177.80753316658598,1,True,lightning_gpu,-52.139722033509166,True,9.781843423843384,0.0,0.0,1,1.3199892053554563,0.0
12,2,25,False,ca8dd4615ced,66,-52.08807063195021,-0.08807063200576692,0.6679895652056302,52.08807063195021,77.97737172124194,1.7034035650896817,0.1,4,0.06060606060606061,1.0444014528595258,1.7034035650896817,38.687374250943314,12.99999999998611,0.05133039714018445,253.26123942666612,1,True,lightning_gpu,-52.07202070256294,True,9.755768519826233,0.03081306178660215,2.4027215728034714,2,1.1702737789402078,-31.297914192248705
12,2,26,False,bf21e44444e5,66,-52.07003040569529,-0.07003040575084896,0.4122828707903352,52.07003040569529,126.29685610240959,1.670894588954227,0.1,4,0.06060606060606061,1.1237237233558783,1.670894588954227,32.74718041554075,12.99999999998611,0.06689314815903549,194.33978453337534,1,True,lightning_gpu,-52.07003040569529,True,9.882539552636445,0.0,0.0,1,1.670894588954227,0.0
12,2,27,False,8297c822df45,66,-51.96992505794691,0.0300749419864772,0.7002182592257924,51.96992505794691,74.21960849094151,1.3199892053554563,0.1,4,0.06060606060606061,0.9183385437733605,1.3199892053554563,30.428329258490894,12.999999999983347,0.11060071733319572,117.5399248163965,1,True,lightning_gpu,-51.96992505794691,True,9.848635007627308,0.0,0.0,1,1.3199892053554563,0.0
12,2,28,False,b996fad8d609,66,-52.058090406078236,-0.05809040613379324,0.4124268359685175,52.058090406078236,126.22381927167339,1.2671685906249246,0.1,5,0.07575757575757576,1.0952126641702749,1.3606332263877432,20.945954956678015,12.99999999998611,0.0777773651517397,167.1437438723177,1,True,lightning_gpu,-52.058090406078236,True,9.893961071968079,0.0,0.0,1,1.2671685906249246,0.0
12,2,29,False,0c3c14e3a912,66,-52.17216041739013,-0.172160417490268,1.4385185024049747,52.17216041739013,36.26798009908566,1.4480754382679544,0.1,2,0.030303030303030304,1.4480754382679544,1.689530060931815,16.674174306323767,12.999999999974966,0.042537534124904686,305.61244950876886,1,True,lightning_gpu,-52.17216041739013,True,9.853069488890469,0.0,0.0,1,1.4480754382679544,0.0
16,3,0,True,514ae30a9bf6,560,-153.26711059662722,-0.267110596876762,1.2705106296258748,153.26711059662722,120.63426076313863,1.3851408274006345,0.1,30,0.05357142857142857,1.1488135639294699,1.5106713958663527,26.124262947035348,16.999999999972275,0.04411181027848038,385.38431981481386,2,True,lightning_gpu,-153.26711059662722,True,16.12365919817239,0.0,0.0,1,1.3851408274006345,0.0
16,3,1,False,f9598a6bfdd0,560,-152.86887718137905,0.13112281842111884,1.2939192012170224,152.86887718137905,118.14406729384267,1.3851408274006345,0.1,12,0.02142857142857143,0.7409270104776121,1.5429335483365896,57.90072186118641,16.999999999977796,0.1699909095259891,100.00534762347833,2,True,lightning_gpu,-152.78290818067424,True,16.111130720935762,0.0562370852000208,6.644077978280821,4,1.2215941427161707,-11.80722432327525
16,3,2,False,75660748013c,560,-153.1176374120056,-0.11763741225513513,0.9002704346258383,153.1176374120056,170.07960222046262,1.3514628008784804,0.1,31,0.055357142857142855,1.0070955117047196,1.4126422639265745,30.007984826385215,16.999999999972275,0.127235911405795,133.61007762780096,2,True,lightning_gpu,-153.0763797230581,True,16.12139199860394,0.02694509244319188,4.5828106045316686,3,1.4041957728067274,3.9019181211624483
16,3,3,False,ba5bb77bd55e,560,-153.11549302509425,-0.11549302526091765,1.7607173941878784,153.11549302509425,86.96199261194779,1.837157284151087,0.1,19,0.033928571428571426,1.0052361520299657,1.837157284151087,45.283065271438375,16.999999999981483,0.0300395124241771,565.9213025807685,2,True,lightning_gpu,-153.04721552244644,True,16.223020256496966,0.04459215804936655,3.8778229188398226,4,1.3681758323720714,-25.52756129400877
16,3,4,False,1bcf1e63b3af,560,-153.14375872173545,-0.14375872193528494,0.7426115576465975,153.14375872173545,206.2232362866284,1.654621300866983,0.1,37,0.06607142857142857,0.9662727712123805,1.73143090526851,46.2437014231114,16.999999999977796,0.06840812030252949,248.50850929387684,2,True,lightning_gpu,-153.0890236740546,True,16.221908346749842,0.035740958781287836,7.370616187864168,5,1.5019615408992006,-9.226265846317354
16,3,5,False,9a047c6a7f24,560,-153.14030133195985,-0.14030133226026464,1.6100175455298995,153.14030133195985,95.11716301300139,1.520137957428604,0.1,5,0.008928571428571428,1.1616004192604064,1.520137957428604,23.58585524531493,16.99999999996662,0.11694063054908149,145.37291205071364,2,True,lightning_gpu,-153.14030133195985,True,16.259250790812075,0.0,0.0,1,1.5201379574286038,-1.4606871951321563e-14
16,3,6,False,897f8dff07cb,560,-152.79523876085153,0.20476123887911513,1.298987709354492,152.79523876085153,117.62639296778283,1.3283250534216873,0.1,15,0.026785714285714284,0.7320384521600899,1.339833698099172,45.756514519803524,16.999999999970072,0.21663551163456848,78.4728222612298,2,True,lightning_gpu,-152.79523876085153,True,16.180860343389213,0.0,0.0,1,1.328325053421687,-1.6716134680517955e-14
16,3,7,False,b5d5b5d06981,560,-152.9258314680382,0.07416853169243609,2.147336970081568,152.9258314680382,71.21650378991482,1.7138924431973186,0.1,8,0.014285714285714285,1.1808558495321007,1.7138924431973186,31.100936104883097,16.999999999970072,0.17586960994123044,96.66252177195871,2,True,lightning_gpu,-152.9258314680382,True,16.141589812003076,0.0,0.0,1,1.7138924431973186,0.0
16,3,8,False,8e11fb6ca06e,560,-152.9397106811916,0.06028931853904851,1.5971019834788933,152.9397106811916,95.76076685350431,1.2268098002868673,0.1,23,0.04107142857142857,0.7630341111869193,1.4473804382327635,55.78259375543154,16.999999999970072,0.2159044356703876,78.73853979509374,2,True,lightning_gpu,-152.9397106811916,True,16.239466758444905,0.0,0.0,1,1.2268098002868673,0.0
16,3,9,False,9bc3f8aa04b6,560,-153.06916526495723,-0.06916526512389964,1.092597083215395,153.06916526495723,140.09662630115324,1.4936212824484583,0.1,21,0.0375,1.1930291806900497,1.727072483896744,35.75493396366512,16.999999999981483,0.08557966144520686,198.64532895898267,2,True,lightning_gpu,-153.06916526495723,True,17.768822838552296,0.0,0.0,1,1.4936212824484583,0.0
16,3,10,False,4793e431bf29,560,-152.8924138064472,0.1075861933861404,1.1443166477847342,152.8924138064472,133.6102328865261,1.2494236320337209,0.1,40,0.07142857142857142,0.6602816488525919,1.5256436996589327,69.26089987571048,16.999999999981483,0.15087958055221157,112.67263560623877,2,True,lightning_gpu,-152.8740465288164,True,17.311624166555703,0.01201320403905283,1.6050869893712048,3,1.0297600593434617,-17.58119240410931
16,3,11,False,1ed94bcff0dd,560,-153.02991662046168,-0.02991662062834166,1.398072246445679,153.02991662046168,109.45780306383297,1.369721920672129,0.1,36,0.06428571428571428,1.005329687059004,1.7233626143547307,52.42180302870414,16.999999999981483,0.12482830594078086,136.18706007310846,2,True,lightning_gpu,-152.9693309055868,True,16.22921990044415,0.03959076513460551,4.333518173250114,6,1.2170745043156763,-11.144409244874158
16,3,12,False,e188a973e5c5,560,-153.00045608908675,-0.0004560892534186678,1.0128632054694435,153.00045608908675,151.05737404901961,1.1488135639294699,0.1,68,0.12142857142857143,0.4590999969338554,1.6603076473251257,104.56071273067047,16.999999999981483,0.09589079801070557,177.28499869282084,2,True,lightning_gpu,-153.00045608908675,True,16.295999311842024,0.0,0.0,1,1.14881356392947,1.9328167067033645e-14
16,3,13,False,70baaa490235,560,-152.89588209816833,0.10411790166500623,1.5411064672619545,152.89588209816833,99.21175814012035,1.6478115557041306,0.1,39,0.06964285714285715,0.8451434872610311,1.6506528104229148,48.883582614377254,16.999999999981483,0.18905942249355945,89.91881904516349,2,True,lightning_gpu,-152.89588209816833,True,16.394983479753137,0.0,0.0,1,1.6478115557041308,1.3475121239221364e-14
16,3,14,False,b79a9c33cc83,560,-153.11816809355648,-0.11816809372314196,1.3564391293259632,153.11816809355648,112.8824469769192,1.589054968977526,0.1,38,0.06785714285714285,0.9028431390126767,1.8565216083878333,60.01544867820394,16.999999999981483,0.08184518362283999,207.7092291505032,2,True,lightning_gpu,-153.11816809355648,True,16.355882432311773,0.0,0.0,1,1.5890549689775257,-1.3973374695017972e-14
16,3,15,False,60d0c2c8bfe1,560,-152.9586950396455,0.04130496005464579,1.9066099612622054,152.9586950396455,80.22547775759257,1.4953805770372721,0.1,5,0.008928571428571428,1.0913515595432473,1.5386649011995361,29.913010007293927,16.999999999966683,0.2391383006074319,71.08857074247503,2,True,lightning_gpu,-152.9586950396455,True,16.12975970096886,0.0,0.0,1,1.495380577037272,-1.4848701951509756e-14
16,3,16,False,3c23e0ab1d53,560,-153.09803128384573,-0.09803128409527062,1.0630125647017508,153.09803128384573,144.0227861528621,1.3325481769762184,0.1,40,0.07142857142857142,0.8994483588011944,1.3439388991792154,33.356433039940555,16.999999999972275,0.09148018281960858,185.83259757465592,2,True,lightning_gpu,-153.09803128384573,True,16.181187632493675,0.0,0.0,1,1.3325481769762182,-1.6663157757559565e-14
16,3,17,False,8ad2d8e3c511,560,-153.06639152362746,-0.06639152387700165,1.1356986994273655,153.06639152362746,134.77728873054588,1.3640769139130915,0.1,11,0.019642857142857142,1.0463514601140809,1.3828340577478484,24.667421184375062,16.999999999972275,0.10910901140212187,155.8074789745705,2,True,lightning_gpu,-153.0279204384024,True,16.429066796787083,0.02513359388832964,3.3874376403236863,4,1.18848371303456,-12.872675953059854
