n_assets,treatment,control,penalty_label,field,pairs,pairs_dropped,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_worse,instances_tied,instance_median_abs_diff,instance_iqr_diff,instance_p95_abs_diff,instance_max_abs_diff,direction
16,lbfgs_100grad,adam_0.1,Amargin,final_P_tau_main,50,0,10,-2.974203380290419e-05,-0.00010998183915944537,2.008207729886635e-06,3,7,0,3.162780831189593e-05,5.385337891539166e-05,0.0004758459806907916,0.000711113796569407,worse
16,lbfgs_100grad,adam_0.1,Amargin,final_Q_tau_main_1000,50,0,10,-0.015989333985382572,-0.02709024211463007,0.002003283414205643,3,7,0,0.021749835919149304,0.02626763100579602,0.07916759585553904,0.09069318534253434,worse
16,lbfgs_100grad,adam_0.1,Amargin,final_P_opt,50,0,10,-2.974203380290419e-05,-0.00010998183915944537,2.008207729886635e-06,3,7,0,3.162780831189593e-05,5.44870466114844e-05,0.00022050259867683047,0.0002468531019985676,worse
16,lbfgs_100grad,adam_0.1,Amargin,g_F,47,3,10,0.0,0.0,0.0216307637473415,1,4,5,0.004502235669272539,0.015731720345612137,0.05735487924683297,0.05878642374659211,equal
16,lbfgs_100grad,adam_0.1,Amargin,rank_best_feasible,47,3,10,0.0,0.0,1.0,1,4,5,0.5,1.0,3.099999999999998,4.0,equal
16,lbfgs_100grad,adam_0.1,Amargin,objective_evaluations,50,0,10,22.0,10.0,24.0,0,9,1,22.0,12.5,28.299999999999994,31.0,worse
16,lbfgs_100grad,adam_0.1,Amargin,gradient_evaluations,50,0,10,22.0,10.0,24.0,0,9,1,22.0,12.5,28.299999999999994,31.0,worse
16,lbfgs_100grad,adam_0.1,Amargin,optimisation_seconds,50,0,10,11.69475789135322,7.5279567101970315,12.464670475421004,0,10,0,11.69475789135322,4.445444576442242,14.618802893068638,16.01794348936528,worse
20,adam_0.03,adam_0.1,Aheur,best_expectation,50,0,10,0.0029474496841430664,0.0027750730514526367,0.0032330751419067383,0,10,0,0.0029474496841430664,0.0002900063991546631,0.0036065816879272457,0.0037795305252075195,worse
20,adam_0.03,adam_0.1,Aheur,best_expectation_by_50,50,0,10,0.1004340648651123,0.1002497673034668,0.10072922706604004,0,10,0,0.1004340648651123,0.0003179311752319336,0.10112223625183106,0.10129690170288086,worse
20,adam_0.03,adam_0.1,Aheur,expectation_at_final_angles,50,0,10,0.007152676582336426,0.007027387619018555,0.007329046726226807,0,10,0,0.007152676582336426,0.00026920437812805176,0.007713520526885986,0.007859110832214355,worse
20,adam_0.03,adam_0.1,Aheur,final_P_F,50,0,10,-0.012230753402945993,-0.01350165667690817,-0.012079171290679369,0,10,0,0.012230753402945993,0.001315787248813649,0.014956328659127391,0.01567500218470741,worse
20,adam_0.03,adam_0.1,Aheur,final_P_tau_main,50,0,10,-6.131164809630718e-06,-9.265045036954689e-06,-2.707666681089904e-06,0,10,0,6.131164809630718e-06,5.215455871621089e-06,1.0527586687203438e-05,1.0700236089178361e-05,worse
20,adam_0.03,adam_0.1,Aheur,final_Q_tau_main_1000,50,0,10,-0.0060214234936896704,-0.009202352031835375,-0.0026844221535157198,0,10,0,0.0060214234936896704,0.005032108543477465,0.010206587759729557,0.010399537791166535,worse
20,adam_0.03,adam_0.1,Aheur,final_P_opt,50,0,10,-2.7235937523073517e-06,-3.026055537702632e-06,-2.634310476423707e-06,0,10,0,2.7235937523073517e-06,2.996287093992578e-07,3.3924221952474904e-06,3.5641378417494707e-06,worse
