n_assets,penalty_label,g_off_threshold,tau_name,tau,runs,passes_gap_rule,passes_quality_rule,gap_passes_quality_fails,quality_passes_gap_fails,disagreement_rate
16,2xAcrit,0.0001,tau_main,0.01,150,74,78,0,4,0.02666666666666667
16,2xAcrit,0.0001,tau_alt,0.05,150,74,104,0,30,0.2
16,2xAcrit,0.0001,optimum,0.0,150,74,72,2,0,0.013333333333333334
16,2xAcrit,0.0005,tau_main,0.01,150,74,78,0,4,0.02666666666666667
16,2xAcrit,0.0005,tau_alt,0.05,150,74,104,0,30,0.2
16,2xAcrit,0.0005,optimum,0.0,150,74,72,2,0,0.013333333333333334
16,2xAcrit,0.001,tau_main,0.01,150,74,78,0,4,0.02666666666666667
16,2xAcrit,0.001,tau_alt,0.05,150,74,104,0,30,0.2
16,2xAcrit,0.001,optimum,0.0,150,74,72,2,0,0.013333333333333334
16,2xAcrit,0.002,tau_main,0.01,150,76,78,0,2,0.013333333333333334
16,2xAcrit,0.002,tau_alt,0.05,150,76,104,0,28,0.18666666666666668
16,2xAcrit,0.002,optimum,0.0,150,76,72,4,0,0.02666666666666667
16,5xAcrit,0.0001,tau_main,0.01,134,59,63,0,4,0.029850746268656716
16,5xAcrit,0.0001,tau_alt,0.05,134,59,86,0,27,0.20149253731343283
16,5xAcrit,0.0001,optimum,0.0,134,59,59,0,0,0.0
16,5xAcrit,0.0005,tau_main,0.01,134,60,63,0,3,0.022388059701492536
16,5xAcrit,0.0005,tau_alt,0.05,134,60,86,0,26,0.19402985074626866
16,5xAcrit,0.0005,optimum,0.0,134,60,59,1,0,0.007462686567164179
16,5xAcrit,0.001,tau_main,0.01,134,61,63,0,2,0.014925373134328358
16,5xAcrit,0.001,tau_alt,0.05,134,61,86,0,25,0.1865671641791045
16,5xAcrit,0.001,optimum,0.0,134,61,59,2,0,0.014925373134328358
16,5xAcrit,0.002,tau_main,0.01,134,62,63,0,1,0.007462686567164179
16,5xAcrit,0.002,tau_alt,0.05,134,62,86,0,24,0.1791044776119403
16,5xAcrit,0.002,optimum,0.0,134,62,59,3,0,0.022388059701492536
16,10xAcrit,0.0001,tau_main,0.01,135,54,57,0,3,0.022222222222222223
16,10xAcrit,0.0001,tau_alt,0.05,135,54,87,0,33,0.24444444444444444
16,10xAcrit,0.0001,optimum,0.0,135,54,54,0,0,0.0
16,10xAcrit,0.0005,tau_main,0.01,135,55,57,0,2,0.014814814814814815
16,10xAcrit,0.0005,tau_alt,0.05,135,55,87,0,32,0.23703703703703705
16,10xAcrit,0.0005,optimum,0.0,135,55,54,1,0,0.007407407407407408
16,10xAcrit,0.001,tau_main,0.01,135,55,57,0,2,0.014814814814814815
16,10xAcrit,0.001,tau_alt,0.05,135,55,87,0,32,0.23703703703703705
16,10xAcrit,0.001,optimum,0.0,135,55,54,1,0,0.007407407407407408
16,10xAcrit,0.002,tau_main,0.01,135,74,57,18,1,0.14074074074074075
16,10xAcrit,0.002,tau_alt,0.05,135,74,87,0,13,0.0962962962962963
16,10xAcrit,0.002,optimum,0.0,135,74,54,20,0,0.14814814814814814
16,Amargin,0.0001,tau_main,0.01,139,56,62,0,6,0.04316546762589928
16,Amargin,0.0001,tau_alt,0.05,139,56,92,0,36,0.2589928057553957
16,Amargin,0.0001,optimum,0.0,139,56,56,0,0,0.0
16,Amargin,0.0005,tau_main,0.01,139,56,62,0,6,0.04316546762589928
16,Amargin,0.0005,tau_alt,0.05,139,56,92,0,36,0.2589928057553957
16,Amargin,0.0005,optimum,0.0,139,56,56,0,0,0.0
16,Amargin,0.001,tau_main,0.01,139,58,62,0,4,0.02877697841726619
16,Amargin,0.001,tau_alt,0.05,139,58,92,0,34,0.2446043165467626
16,Amargin,0.001,optimum,0.0,139,58,56,2,0,0.014388489208633094
16,Amargin,0.002,tau_main,0.01,139,60,62,0,2,0.014388489208633094
16,Amargin,0.002,tau_alt,0.05,139,60,92,0,32,0.2302158273381295
16,Amargin,0.002,optimum,0.0,139,60,56,4,0,0.02877697841726619
16,Aheur,0.0001,tau_main,0.01,136,61,54,7,0,0.051470588235294115
16,Aheur,0.0001,tau_alt,0.05,136,61,94,0,33,0.2426470588235294
16,Aheur,0.0001,optimum,0.0,136,61,51,10,0,0.07352941176470588
16,Aheur,0.0005,tau_main,0.01,136,99,54,45,0,0.33088235294117646
16,Aheur,0.0005,tau_alt,0.05,136,99,94,5,0,0.03676470588235294
16,Aheur,0.0005,optimum,0.0,136,99,51,48,0,0.35294117647058826
16,Aheur,0.001,tau_main,0.01,136,116,54,62,0,0.45588235294117646
16,Aheur,0.001,tau_alt,0.05,136,116,94,22,0,0.16176470588235295
16,Aheur,0.001,optimum,0.0,136,116,51,65,0,0.47794117647058826
16,Aheur,0.002,tau_main,0.01,136,124,54,70,0,0.5147058823529411
16,Aheur,0.002,tau_alt,0.05,136,124,94,30,0,0.22058823529411764
16,Aheur,0.002,optimum,0.0,136,124,51,73,0,0.5367647058823529
20,1.1xAcrit,0.0001,tau_main,0.01,150,25,40,0,15,0.1
20,1.1xAcrit,0.0001,tau_alt,0.05,150,25,119,0,94,0.6266666666666667
20,1.1xAcrit,0.0001,optimum,0.0,150,25,25,0,0,0.0
20,1.1xAcrit,0.0005,tau_main,0.01,150,25,40,0,15,0.1
20,1.1xAcrit,0.0005,tau_alt,0.05,150,25,119,0,94,0.6266666666666667
20,1.1xAcrit,0.0005,optimum,0.0,150,25,25,0,0,0.0
20,1.1xAcrit,0.001,tau_main,0.01,150,25,40,0,15,0.1
20,1.1xAcrit,0.001,tau_alt,0.05,150,25,119,0,94,0.6266666666666667
20,1.1xAcrit,0.001,optimum,0.0,150,25,25,0,0,0.0
20,1.1xAcrit,0.002,tau_main,0.01,150,27,40,0,13,0.08666666666666667
20,1.1xAcrit,0.002,tau_alt,0.05,150,27,119,0,92,0.6133333333333333
20,1.1xAcrit,0.002,optimum,0.0,150,27,25,2,0,0.013333333333333334
20,2xAcrit,0.0001,tau_main,0.01,150,23,33,0,10,0.06666666666666667
20,2xAcrit,0.0001,tau_alt,0.05,150,23,99,0,76,0.5066666666666667
20,2xAcrit,0.0001,optimum,0.0,150,23,23,0,0,0.0
20,2xAcrit,0.0005,tau_main,0.01,150,23,33,0,10,0.06666666666666667
20,2xAcrit,0.0005,tau_alt,0.05,150,23,99,0,76,0.5066666666666667
20,2xAcrit,0.0005,optimum,0.0,150,23,23,0,0,0.0
20,2xAcrit,0.001,tau_main,0.01,150,24,33,0,9,0.06
20,2xAcrit,0.001,tau_alt,0.05,150,24,99,0,75,0.5
20,2xAcrit,0.001,optimum,0.0,150,24,23,1,0,0.006666666666666667
20,2xAcrit,0.002,tau_main,0.01,150,26,33,0,7,0.04666666666666667
20,2xAcrit,0.002,tau_alt,0.05,150,26,99,0,73,0.4866666666666667
20,2xAcrit,0.002,optimum,0.0,150,26,23,3,0,0.02
20,5xAcrit,0.0001,tau_main,0.01,150,8,19,0,11,0.07333333333333333
20,5xAcrit,0.0001,tau_alt,0.05,150,8,79,0,71,0.47333333333333333
20,5xAcrit,0.0001,optimum,0.0,150,8,8,0,0,0.0
20,5xAcrit,0.0005,tau_main,0.01,150,8,19,0,11,0.07333333333333333
20,5xAcrit,0.0005,tau_alt,0.05,150,8,79,0,71,0.47333333333333333
20,5xAcrit,0.0005,optimum,0.0,150,8,8,0,0,0.0
20,5xAcrit,0.001,tau_main,0.01,150,14,19,0,5,0.03333333333333333
20,5xAcrit,0.001,tau_alt,0.05,150,14,79,0,65,0.43333333333333335
20,5xAcrit,0.001,optimum,0.0,150,14,8,6,0,0.04
20,5xAcrit,0.002,tau_main,0.01,150,28,19,9,0,0.06
20,5xAcrit,0.002,tau_alt,0.05,150,28,79,0,51,0.34
20,5xAcrit,0.002,optimum,0.0,150,28,8,20,0,0.13333333333333333
20,10xAcrit,0.0001,tau_main,0.01,150,17,24,0,7,0.04666666666666667
20,10xAcrit,0.0001,tau_alt,0.05,150,17,77,0,60,0.4
20,10xAcrit,0.0001,optimum,0.0,150,17,17,0,0,0.0
20,10xAcrit,0.0005,tau_main,0.01,150,20,24,0,4,0.02666666666666667
20,10xAcrit,0.0005,tau_alt,0.05,150,20,77,0,57,0.38
20,10xAcrit,0.0005,optimum,0.0,150,20,17,3,0,0.02
20,10xAcrit,0.001,tau_main,0.01,150,31,24,7,0,0.04666666666666667
20,10xAcrit,0.001,tau_alt,0.05,150,31,77,0,46,0.30666666666666664
20,10xAcrit,0.001,optimum,0.0,150,31,17,14,0,0.09333333333333334
20,10xAcrit,0.002,tau_main,0.01,150,45,24,21,0,0.14
20,10xAcrit,0.002,tau_alt,0.05,150,45,77,0,32,0.21333333333333335
20,10xAcrit,0.002,optimum,0.0,150,45,17,28,0,0.18666666666666668
20,Amargin,0.0001,tau_main,0.01,150,18,28,0,10,0.06666666666666667
20,Amargin,0.0001,tau_alt,0.05,150,18,83,0,65,0.43333333333333335
20,Amargin,0.0001,optimum,0.0,150,18,18,0,0,0.0
