spec_version,arm,backend,precision,n_assets,n_select,instance,instance_digest,qaoa_seed,e1_run_id,penalty_label,penalty,p_layers,angles,f_star,delta_F,feasible_set_size,data_start,data_end,status,hamiltonian_scale,shot_seed,shot_seed_applied,batches,shots,task_arn,execution_ms,seconds,final_probs_sum,final_P_F,final_P_opt,final_P_tau_main,final_P_tau_alt,final_expected_f,final_expected_violation,final_Q_tau_main_10,final_Q_opt_10,final_Q_tau_main_100,final_Q_opt_100,final_Q_tau_main_1000,final_Q_opt_1000,final_Q_tau_main_10000,final_Q_opt_10000
e4a-v1,gpu_double,lightning_gpu,double,20,4,1,9f06c1dc6e9a,42,N20_i01_Aheur_s42,Aheur,20.99999999997685,2,2.5470571607990928 1.6819246629326174 2.8710914090557091 2.0099534611414791,-0.05194130964678845,1.6573123108875516,4845,2023-08-06,2026-08-05,ok,126.65221025509658,20260912,True,10,1000,,,0.8018391793593764,0.9999999999999943,0.04747662860134115,9.881778840315026e-06,9.881778840315026e-06,1.9783923786574912e-05,3.957709259277063,35.54369515617548,9.881339428907676e-05,9.881339428907676e-05,0.0009876946747391369,0.0009876946747391369,0.009833162837473375,0.009833162837473375,0.09409268242480684,0.09409268242480684
e4a-v1,gpu_double,lightning_gpu,double,20,4,1,9f06c1dc6e9a,43,N20_i01_Aheur_s43,Aheur,20.99999999997685,2,1.8982487231981187 0.044053902645595028 -0.084632481284101183 2.9987718758133686,-0.05194130964678845,1.6573123108875516,4845,2023-08-06,2026-08-05,ok,126.65221025509658,20260912,True,10,1000,,,0.8074270617216825,0.9999999999999983,0.00421126633595344,8.64491533550334e-07,8.64491533550334e-07,1.729835755948381e-06,3.969030017958831,30.35166547521586,8.644881705377472e-06,8.644881705377472e-06,8.644545410174675e-05,8.644545410174675e-05,0.0008641183417809062,0.0008641183417809062,0.008607659206468443,0.008607659206468443
e4a-v1,gpu_single,lightning_gpu,single,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,52.55393699499583,20260912,True,10,1000,,,0.540546353906393,0.9999998147877704,0.17169158207252622,0.002430905355140567,0.002430905355140567,0.002430905355140567,1.52001884641841,12.936898292820842,0.024044851495662378,0.024044851495662378,0.21603153312455037,0.21603153312455037,0.9123027557558537,0.9123027557558537,0.9999999999730934,0.9999999999730934
e4a-v1,gpu_single,lightning_gpu,single,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,52.55393699499583,20260912,True,10,1000,,,0.2596584865823388,0.9999995336911525,0.00991729661473073,0.00014961505075916648,0.00014961505075916648,0.00014961505075916648,1.973760806953892,15.594258065742906,0.0014951435995227413,0.0014951435995227413,0.014851240579478064,0.014851240579478064,0.13897026885788233,0.13897026885788233,0.7760343175189699,0.7760343175189699
e4a-v1,gpu_single,lightning_gpu,single,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,52.83619466974709,20260912,True,10,1000,,,0.258563325740397,1.0000002769629646,0.17893968150019646,0.002538474975153804,0.002538474975153804,0.002538474975153804,2.975365500225206,12.884957367848983,0.025096730482000895,0.025096730482000895,0.22444023782418765,0.22444023782418765,0.9212677454468932,0.9212677454468932,0.9999999999908478,0.9999999999908478
e4a-v1,cpu_double,lightning_cpu,double,12,2,0,941157873a8b,42,N12_i00_Aheur_s42,Aheur,12.999999999979208,2,2.2510245979651757 1.3791771436170195 2.7902898692155738 2.0853295700379939,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,52.55393699499583,20260912,True,10,1000,,,0.3748210435733199,0.9999999999999892,0.17169155625673407,0.0024309051485081443,0.0024309051485081443,0.0024309051485081443,1.5200190593456462,12.93690011857422,0.024044849474108898,0.024044849474108898,0.2160315168857483,0.2160315168857483,0.9123027375906038,0.9123027375906038,0.9999999999730933,0.9999999999730933
e4a-v1,cpu_double,lightning_cpu,double,12,2,0,941157873a8b,43,N12_i00_Aheur_s43,Aheur,12.999999999979208,2,1.8301237517759843 0.0002165697581993681 -0.044589671100633908 2.9835135568116264,-0.25261168083239516,0.6490147388383165,66,2023-08-06,2026-08-05,ok,52.55393699499583,20260912,True,10,1000,,,0.3661123365163803,0.9999999999999885,0.009917302807928649,0.0001496150846432076,0.0001496150846432076,0.0001496150846432076,1.9737617322316854,15.59426555644454,0.0014951439379068399,0.0014951439379068399,0.014851243918056256,0.014851243918056256,0.1389702980373847,0.1389702980373847,0.7760343934188596,0.7760343934188596
e4a-v1,cpu_double,lightning_cpu,double,12,2,1,3798cace2ea7,42,N12_i01_Aheur_s42,Aheur,12.999999999983347,2,2.2548321852968618 1.3964072519323973 2.7962367287547587 2.0867076840383003,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,52.83619466974709,20260912,True,10,1000,,,0.3633939204737544,0.9999999999999893,0.17893955171833026,0.0025384735742830233,0.0025384735742830233,0.0025384735742830233,2.9753645463299683,12.88495376955398,0.025096716790109497,0.025096716790109497,0.22444012890178455,0.22444012890178455,0.9212676348724125,0.9212676348724125,0.9999999999908477,0.9999999999908477
e4a-v1,cpu_double,lightning_cpu,double,12,2,1,3798cace2ea7,43,N12_i01_Aheur_s43,Aheur,12.999999999983347,2,1.8320385937237138 0.00059987955034510433 -0.045127650519484704 2.9833103641215408,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,52.83619466974709,20260912,True,10,1000,,,0.3610261408612132,0.9999999999999905,0.009937611959532125,0.00015015908573988345,0.00015015908573988345,0.00015015908573988345,3.8776787470077454,15.564264969385661,0.0015005766147858646,0.0015005766147858646,0.014904842694292264,0.014904842694292264,0.1394386419369179,0.1394386419369179,0.7772496424436446,0.7772496424436446
e4a-v1,cpu_double,lightning_cpu,double,16,3,0,514ae30a9bf6,42,N16_i00_Aheur_s42,Aheur,16.999999999972275,2,0.74274147571645022 1.4405996686222429 2.73269036940555 1.6581154527861004,-0.2671105968767471,1.2705106296258624,560,2023-08-06,2026-08-05,ok,85.75412863060436,20260912,True,10,1000,,,1.363696163520217,0.9999999999999851,0.37682726252376125,0.0006685235229486131,0.0020078862078412147,0.004693400150543559,0.6897863210410227,4.011205062958499,0.019898407758225822,0.006665159474522397,0.18207977482890825,0.06468761926082911,0.8659985574457665,0.4876498927679941,0.9999999981332132,0.9987535687917128
