n_assets,instance,penalty_label,qaoa_seed,best_expectation_single,best_expectation_double,best_expectation_diff,final_P_F_single,final_P_F_double,final_P_F_diff,final_P_tau_main_single,final_P_tau_main_double,final_P_tau_main_diff,final_Q_tau_main_1000_single,final_Q_tau_main_1000_double,final_Q_tau_main_1000_diff,final_D_cond_single,final_D_cond_double,final_D_cond_diff,within_tau_main_agree,same_stop_reason
16,0,Amargin,42,-5.295291423797607,-5.295078165115942,-0.0002132586816649,0.4228836041293107,0.4229173923026035,-3.37881732928591e-05,0.0021540991729125,0.0021538920733746,2.0709953791383379e-07,0.8842615739222497,0.8842375503133886,2.402360886111232e-05,0.0254542308629597,0.025454706433383,-4.755704233784519e-07,True,False
16,0,Amargin,43,-1.3596251010894775,-1.359622127703777,-2.9733857005442843e-06,0.0015890616660811,0.0015891805067616,-1.188406804769615e-07,2.482455920471693e-05,2.482603458039026e-05,-1.4753756733268603e-09,0.0245192643936986,0.0245207036289134,-1.4392352148430432e-06,0.3094521844458726,0.3094469051480694,5.279297803251204e-06,False,False
16,1,Aheur,42,-2.1736505031585693,-2.1731181007963367,-0.0005324023622326,0.2815416630473919,0.2805699390017634,0.0009717240456285,0.0004598601371981,0.0004583470608878,1.5130763102857514e-06,0.3686948306983459,0.3677384553748828,0.000956375323463,0.0155234914580812,0.0154933916398791,3.0099818202154044e-05,True,True
16,1,Aheur,43,-1.2646998167037964,-1.2646932858545017,-6.530849294916763e-06,0.0006213321196355,0.000627013938498,-5.68181886246666e-06,1.113472762881429e-06,1.1236912977133436e-06,-1.0218534831914704e-08,0.0011128537013265,0.0011230608236906,-1.0207122364102064e-05,0.0062266843126207,0.0062000579245684,2.6626388052273554e-05,False,False
16,1,Amargin,42,-5.569479465484619,-5.528418006574041,-0.041061458910578,0.4649482257373165,0.4152961392431212,0.0496520864941952,0.0013726940378546,0.0007329222931602,0.0006397717446944,0.7468155603522157,0.5196263363605742,0.2271892239916415,0.1006477285634812,0.017660023630004,0.0829877049334772,True,False
16,1,Amargin,43,-1.491925597190857,-1.4919215351531268,-4.062037730179213e-06,0.0023776532474357,0.0023765321744219,1.1210730138208789e-06,8.037322913878597e-06,8.03353059291456e-06,3.792320964037798e-09,0.0080051420346117,0.008001380034353,3.762000258708889e-06,0.122565573721545,0.1225435385463184,2.2035175226572945e-05,True,True
20,0,Aheur,42,-0.9173750877380372,-0.9173761932623556,1.105524318534279e-06,0.0337064461036789,0.0337042235279682,2.2225757106350552e-06,2.779538090180722e-05,2.779372324336961e-05,1.657658437611794e-09,0.0274130193194195,0.0274114070562562,1.612263163253136e-06,0.0041205175766061,0.0041196075951799,9.099814261420702e-07,True,False
20,0,Aheur,43,-1.7646465301513672,-1.7646938873771163,4.735722574911172e-05,0.0038822139707122,0.0038435264699942,3.868750071794446e-05,3.190657935192576e-06,3.158739081903981e-06,3.1918853288594884e-08,0.0031855782694335,0.0031537604873476,3.181778208589687e-05,0.0011891554384062,0.001209326819586,-2.0171381179844667e-05,True,True
20,0,Amargin,42,-5.715482234954834,-5.715489405741538,7.170786703980525e-06,0.343349448000481,0.3442875579838423,-0.0009381099833613,4.2135283365496434e-05,4.26672876909033e-05,-5.320043254068685e-07,0.0412607808729907,0.0417707202495837,-0.000509939376593,0.3992493715187259,0.3982730328011488,0.0009763387175771,False,True
20,0,Amargin,43,-1.913873076438904,-1.913875302968555,2.226529651094822e-06,0.0083853225041821,0.0083867483527294,-1.4258485473706006e-06,7.292013151527499e-06,7.293398121283782e-06,-1.3849697562832161e-09,0.0072655173232691,0.0072668922395784,-1.374916309277753e-06,0.012131686922952,0.0121334600690661,-1.7731461140722826e-06,True,False
20,1,Aheur,42,-0.918299674987793,-0.918300530466932,8.55479138972548e-07,0.0336566487912932,0.0336701855050538,-1.3536713760552157e-05,6.907533133926336e-06,6.910514810401211e-06,-2.981676474875293e-09,0.0068837546561123,0.006886715823502,-2.961167389711576e-06,0.0024512422267711,0.0024460503978558,5.19182891536114e-06,True,False
20,1,Aheur,43,-1.7660857439041138,-1.7661220404069389,3.62965028251061e-05,0.0038682069633182,0.0038419310117177,2.627595160049727e-05,7.938222097436665e-07,7.883957763937295e-07,5.426433349936992e-09,0.0007935075310754,0.0007880853846402,5.422146435160482e-06,0.0008292220104709,0.0008428984419767,-1.3676431505852436e-05,True,True
