arm,n_assets,instance,qaoa_seed,batches,shots,P_F_exact,feasible_fraction_mean,feasible_fraction_min,feasible_fraction_max,feasible_count_z_max_abs,batches_within_2sd,no_feasible_shot_batches,min_energy_shot_infeasible_batches,g_F_best_feasible_min,g_F_best_feasible_median,g_F_best_feasible_max,batches_best_feasible_optimal,batches_best_feasible_within_tau,distinct_best_feasible,distinct_min_energy_shot,shots_within_tau_total,expected_shots_within_tau,mc_distinct_best_median,mc_distinct_best_p025,mc_distinct_best_p975,mc_no_feasible_batches_mean
gpu_double,20,1,42,10,1000,0.04747662860134115,0.0469,0.04,0.06,1.8622736764749417,10,0,0,0.0933045968739762,0.17512373298871753,0.20397611143740543,0,0,10,10,0,0.09881778840315027,10.0,9.0,10.0,0.0
gpu_double,20,1,43,10,1000,0.00421126633595344,0.0048000000000000004,0.003,0.008,1.8501379790882837,10,0,0,0.1603627027206096,0.2847868768802248,0.367153544243659,0,0,10,10,0,0.00864491533550334,10.0,9.0,10.0,0.162
cpu_double,12,0,42,10,1000,0.17169155625673407,0.17179999999999998,0.151,0.188,1.735092542752983,10,0,0,0.0,0.0,0.0,10,10,1,1,33,24.309051485081444,2.0,1.0,3.0,0.0
cpu_double,12,0,43,10,1000,0.009917302807928649,0.008799999999999999,0.006,0.013,1.2501284002129185,10,0,0,0.0,0.08246008551089888,0.37720311061553247,3,3,6,6,3,1.4961508464320759,7.0,5.0,9.0,0.002
cpu_double,12,1,42,10,1000,0.17893955171833026,0.1726,0.149,0.193,2.470043233834648,8,0,0,0.0,0.0,0.0616136650977683,9,9,2,2,32,25.384735742830234,2.0,1.0,3.0,0.0
cpu_double,12,1,43,10,1000,0.009937611959532125,0.008999999999999998,0.006,0.013,1.2553378312173364,10,0,0,0.0,0.173516761056205,0.4438218774399699,1,1,10,10,1,1.5015908573988346,7.0,5.0,9.0,0.0
cpu_double,16,0,42,10,1000,0.37682726252376125,0.37889999999999996,0.349,0.402,1.8159132800399655,10,0,0,0.0,0.002464256928998336,0.007859121285048768,5,10,3,3,24,20.078862078412147,4.0,2.0,6.0,0.0
cpu_double,16,0,43,10,1000,0.0005677007167147338,0.0004,0.0,0.002,1.9015045239436115,10,7,7,0.2778721945407264,0.5093705761890814,0.791154209145035,0,0,3,9,0,0.030400292324323248,4.0,1.4750000000000014,7.0,5.674
cpu_double,16,1,42,10,1000,0.37734296358493913,0.3746,0.361,0.392,1.0661989116985269,10,0,0,0.0,0.03425705615613792,0.07875605069266531,4,4,5,5,5,6.705271372746512,4.0,2.0,5.0,0.0
cpu_double,16,1,43,10,1000,0.0005366142610524745,0.0004,0.0,0.002,1.9982244509737574,10,7,7,0.19664217246164256,0.34724008327778694,0.5267140397148452,0,0,3,10,0,0.009502901506805574,4.0,1.0,7.0,5.786
cpu_double,20,0,42,10,1000,0.04699973801602891,0.0481,0.038,0.062,2.241323866179875,9,0,0,0.03866712623457099,0.08366325571006347,0.1601341032581738,0,0,10,10,0,0.3929108396830181,10.0,9.0,10.0,0.0
cpu_double,20,0,43,10,1000,0.004240391517824328,0.0045000000000000005,0.002,0.007,1.3429728710475388,10,0,0,0.06922480877658159,0.20728784023512895,0.2937074433452884,0,0,10,10,0,0.034859580532493974,10.0,9.0,10.0,0.138
cpu_double,20,1,42,10,1000,0.04747662860134047,0.048799999999999996,0.038,0.066,2.7544968409215174,8,0,0,0.14147336721551096,0.18032617310073443,0.2604791511236199,0,0,10,10,0,0.09881778840314875,10.0,9.0,10.0,0.0
cpu_double,20,1,43,10,1000,0.00421126633595338,0.0045000000000000005,0.002,0.007,1.3618117616386005,10,0,0,0.1879176595381203,0.34907211993580667,0.3921215331099394,0,0,10,10,0,0.008644915335503229,10.0,9.0,10.0,0.118
gpu_single,12,0,42,10,1000,0.17169158207252622,0.1709,0.151,0.183,1.735094604131923,10,0,0,0.0,0.0,0.0,10,10,1,1,22,24.30905355140567,2.0,1.0,3.0,0.0
gpu_single,12,0,43,10,1000,0.00991729661473073,0.0091,0.003,0.014,2.2075167654489283,9,0,0,0.0,0.30189501659627804,0.4128917079470388,1,1,7,7,1,1.4961505075916648,8.0,5.0,9.0,0.002
gpu_single,12,1,42,10,1000,0.17893968150019646,0.181,0.163,0.197,1.4899940813850663,10,0,0,0.0,0.0,0.0,10,10,1,1,31,25.38474975153804,2.0,1.0,2.0,0.0
gpu_single,12,1,43,10,1000,0.009937588081811555,0.011399999999999999,0.007,0.019,2.889162814953476,9,0,0,0.0,0.0616136650977683,0.2775682587037388,4,4,6,6,4,1.5015876851975918,7.0,5.0,9.0,0.0
gpu_single,16,0,42,10,1000,0.37682731926906854,0.3765,0.354,0.414,2.425763674281423,9,0,0,0.0,0.002464256928998336,0.020795681380429035,5,9,4,4,15,20.07886185310781,4.0,2.0,6.0,0.0
