sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
grid,20,4,46,3,-336.11496767698543,-336.15232144200877,0.011112154413541445,41.86987383663654,True,1.4620239244949482,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,42,4,-335.9630197958589,-336.15232144200877,0.056314246273186395,54.74763836432248,True,1.1324411165443187,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,43,4,-336.0926602541601,-336.15232144200877,0.01774825995333253,54.59183064289391,True,1.3139748467270016,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,44,4,-336.0255018049166,-336.15232144200877,0.03772683661625733,54.710403316654265,True,1.2524423788553842,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,45,4,-335.8770074485817,-336.15232144200877,0.08190155946150675,54.714567605406046,True,1.2920490048598654,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,46,4,-336.1358449771381,-336.15232144200877,0.004901487754118071,54.57762892264873,True,1.4638807071588888,brute_force,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,20,4,42,1,-335.8044058996823,-336.15232144200877,0.10349937219948133,33.70937660429627,True,1.0940518466221674,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,43,1,-335.8033061804025,-336.15232144200877,0.10382652129519176,33.663151419721544,True,0.7395221318442368,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,44,1,-336.0261925532983,-336.15232144200877,0.037521349895608985,33.59202453121543,True,1.2114979640787742,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,45,1,-314.66233308926405,-336.15232144200877,6.392931710409758,33.6737078409642,False,0.729013180972966,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,46,1,-335.89025775754953,-336.15232144200877,0.07795980207277708,33.61642788629979,True,1.016800286808896,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,42,2,-336.0521588694553,-336.15232144200877,0.02979678144830298,58.79461935535073,True,1.134988635287753,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,43,2,-336.09256932465445,-336.15232144200877,0.017775310043375535,58.339458364993334,True,1.31791972028434,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,44,2,-336.07853556721267,-336.15232144200877,0.021950130964313593,58.74620711989701,True,1.1836913736499022,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,45,2,-336.0255018049166,-336.15232144200877,0.03772683661625733,58.54555916413665,True,1.2524423788553842,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,46,2,-336.1358449771381,-336.15232144200877,0.004901487754118071,58.683224607259035,True,1.4638807071588888,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,42,3,-336.1428670908589,-336.15232144200877,0.0028125199639637615,83.37209923192859,True,1.4675160119077235,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
