n_assets,penalty_label,field,runs,runs_undefined,instances,initial_median,final_median,paired_diff_median,paired_diff_ci95_low,paired_diff_ci95_high,paired_diff_p25,paired_diff_p75,instances_increased,instances_decreased
16,Amargin,Q_tau_main_1000,150,0,30,0.32413624983872297,0.5340693612178884,0.2548353716300435,0.20556119975266862,0.3104387343364648,0.16262611088827117,0.34745328011419296,28,2
16,Amargin,expected_violation,150,0,30,25.739720159545833,1.6863656564856888,-21.071424725999712,-21.673266455507793,-20.182362213929576,-21.935608777038727,-18.56082329946383,0,30
16,Amargin,R_tau,150,0,30,2.033032038907928,1.6265459612892632,-0.22517930094979155,-0.628140616436497,0.14624897542506285,-0.7313579391012474,0.30712384112423413,11,19
16,Amargin,D_cond,150,0,30,0.3879839681322935,0.13913979717655672,-0.1743962441155531,-0.1966779368343573,-0.1324113761867903,-0.2054934119462751,-0.12674256442083837,2,28
16,Aheur,P_F,150,0,30,0.0348359581312252,0.22930728540814016,0.1284332591094426,0.12797536068683257,0.12856976519269664,0.12773271373589523,0.12867062542864005,30,0
16,Aheur,P_tau_main,150,0,30,6.295946877798997e-05,0.00040854040707927197,0.00022804360196460038,0.00022675818763673306,0.0002288601899635978,0.0002259389657410793,0.0002290257325512357,30,0
16,Aheur,Q_tau_main_1000,150,0,30,0.061020328968507176,0.33543585275935883,0.178638700330494,0.17275725930534186,0.18238907142039623,0.17080654277012708,0.18396880328982465,30,0
16,Aheur,expected_violation,150,0,30,34.84266530695686,4.002696441105854,-17.20306352779389,-17.23080267576845,-17.186285395075018,-17.232197003081083,-17.17457188758775,0,30
16,Aheur,R_tau,150,0,30,1.0079853765777154,0.9972929778734394,-0.009298315001104007,-0.01140934047569625,-0.008203875810455008,-0.012491133174472036,-0.006971391545116945,0,30
16,Aheur,D_cond,150,0,30,0.0023565562397766778,0.0013418318179892876,-0.0011868397804528103,-0.0012910147410169046,-0.0011467619548939801,-0.001361980759562868,-0.0010930277491521525,0,30
20,1.1xAcrit,P_F,150,0,30,0.08629127701897232,0.23265813756856346,0.15642694447551703,0.1208051124467514,0.17523554210649755,0.10894146137099237,0.1801162745391003,30,0
20,1.1xAcrit,P_tau_main,150,0,30,9.69995126069989e-05,0.00026207391056232154,0.0001864894861682842,0.00013318355922820047,0.0002810481246342533,0.00012309293651924236,0.00032358682074118406,30,0
20,1.1xAcrit,Q_tau_main_1000,150,0,30,0.0924463928340698,0.2305165880169075,0.16540026812916786,0.11846720687743911,0.22903574231777318,0.10392344534900935,0.2581597654321254,30,0
20,1.1xAcrit,expected_violation,150,0,30,32.20737956495651,2.881319451121893,-26.80752644392959,-28.22140865201421,-26.118498505315998,-28.898911141217475,-25.93493169140425,0,30
20,1.1xAcrit,R_tau,150,0,30,3.203585305058625,2.7777567816393907,1.0401895358927506,0.398344007327587,1.4558660598638704,-0.34380191964440615,2.009291199188503,21,9
20,1.1xAcrit,D_cond,150,0,30,0.3372754394444376,0.5099825915266005,0.12895158747413646,0.10780254006415053,0.1529187631096947,0.07956799961771285,0.16470139808583334,28,2
20,2xAcrit,P_F,150,0,30,0.0708478211403758,0.21354717343507446,0.1449559408011778,0.13040167593777602,0.17809448933867633,0.1247774858937305,0.18465250268536693,30,0
20,2xAcrit,P_tau_main,150,0,30,4.5103199227014557e-05,0.00013674385263584554,8.77800780472171e-05,7.267000091815135e-05,0.00013703111972063198,6.485144376711105e-05,0.00014457162558301206,28,2
20,2xAcrit,Q_tau_main_1000,150,0,30,0.04410207822680445,0.12775785168358095,0.0837762371393756,0.06825370913525142,0.11773832594788536,0.06203043799783853,0.12879738678856859,28,2
20,2xAcrit,expected_violation,150,0,30,34.00394221427777,3.229664654572886,-30.042714374336292,-31.279328968474857,-28.94472293115553,-31.672215328750774,-28.394261606749076,0,30
20,2xAcrit,R_tau,150,0,30,2.2689188144791306,1.3894891532358824,-0.4894718996077989,-0.7468856980197944,0.17437361696271592,-0.7990200341720602,0.5887531821291105,12,18
20,2xAcrit,D_cond,150,0,30,0.23474120742552415,0.12745747641638774,0.03099073065324659,0.010545627338964345,0.06406671089502533,0.005572629548274005,0.06855544258438212,23,7
20,5xAcrit,P_F,150,0,30,0.049822416927554514,0.2300815683320252,0.18724774580529369,0.1575384396418258,0.21461994096370413,0.13582042738175915,0.22493991928307366,30,0
20,5xAcrit,P_tau_main,150,0,30,1.951458034454845e-05,0.00010557045607129112,9.026486122820643e-05,6.146497753434232e-05,0.00012114402625229559,5.539045423574862e-05,0.00012323315161211212,30,0
20,5xAcrit,Q_tau_main_1000,150,0,30,0.019325470870167616,0.10019362406517335,0.0842909065249911,0.05854920652640877,0.10846810560513565,0.0528263458864455,0.11416593465198721,30,0
20,5xAcrit,expected_violation,150,0,30,40.949973421183216,3.662784990620893,-38.28948867747485,-38.7040992647559,-36.345336676161665,-38.98398808972807,-35.69973275274741,0,30
20,5xAcrit,R_tau,150,0,30,1.1647091924985253,0.96694924509183,-0.394240337889274,-0.5054672486340728,-0.3493686683318248,-0.5341158712582303,-0.32125240227769625,2,28
20,5xAcrit,D_cond,150,0,30,0.10158893056364116,0.06252259763031093,-0.030702054333261244,-0.034532129126571914,-0.019060081037038837,-0.03992988890489198,-0.009673380732355144,6,24
20,10xAcrit,P_F,150,0,30,0.061835654026253906,0.22011033516355383,0.2058713877472691,0.17290349477758582,0.2173287076431336,0.15307512693834724,0.21793595055654436,30,0
20,10xAcrit,P_tau_main,150,0,30,2.0187419977446552e-05,8.818673450150527e-05,7.441556277854033e-05,6.380301488206896e-05,0.00012153999481068212,6.12270100002199e-05,0.00013969713147510276,30,0
20,10xAcrit,Q_tau_main_1000,150,0,30,0.019985208927143006,0.08441305418620304,0.07134361242228693,0.06172953920223506,0.11322796465126922,0.05938460047241334,0.13013595450678678,30,0
20,10xAcrit,expected_violation,150,0,30,43.915104202333076,4.3641266141045065,-34.85471075962299,-39.62040284536181,-19.287595955103647,-39.779768239103106,-19.275355149297358,0,30
20,10xAcrit,R_tau,150,0,30,0.862101415957387,0.9714997131479277,0.21763775894544957,0.07574920493465603,0.4137378802256674,-0.18652187872901707,0.4976657461246178,21,9
20,10xAcrit,D_cond,150,0,30,0.05162183776536174,0.0373154241037751,-0.019983121001936603,-0.023854269662974548,-0.01693034328190897,-0.027813732423616837,-0.015135832102128764,0,30
20,Amargin,P_F,150,0,30,0.0477622854464812,0.3095020237597055,0.2420892090747202,0.23429840728013573,0.25294155559336673,0.2210071359984056,0.263034356883054,30,0
20,Amargin,P_tau_main,150,0,30,2.819666178766056e-05,0.00012754093404510058,0.00010055712010625939,9.203703848470468e-05,0.00015323057232308201,8.758826248822515e-05,0.00018193939513366786,30,0
20,Amargin,Q_tau_main_1000,150,0,30,0.0277999399908605,0.11968008369195077,0.09498721086977041,0.08763857261737401,0.1381551865842745,0.08356411755187085,0.16139099126098602,30,0
20,Amargin,expected_violation,150,0,30,36.955342235151974,3.6224994703370017,-33.30952834472118,-34.42742871024759,-32.57596045949263,-34.63872210349504,-32.206255682330806,0,30
20,Amargin,R_tau,150,0,30,1.5237783941265586,1.0121760822285701,-0.5600548033413286,-0.5933612624584182,-0.33687624975540326,-0.6345963628987955,-0.26045356360560756,5,25
20,Amargin,D_cond,150,0,30,0.1446563974073645,0.0920497098349434,-0.045049486753680326,-0.06178380922347565,-0.028287249523374955,-0.06494251852486005,-0.019875080507363314,3,27
20,Aheur,P_F,150,0,30,0.08712494074552524,0.1672784861711989,0.13378187195894498,0.13280472645192276,0.13450153487383432,0.13234098098030245,0.13490217347884936,30,0
20,Aheur,P_tau_main,150,0,30,3.61002430508961e-05,6.90544766257517e-05,5.6507123190385755e-05,2.874690858334361e-05,5.76856243696966e-05,2.8600289397218148e-05,5.8163512335340783e-05,30,0
20,Aheur,Q_tau_main_1000,150,0,30,0.03545702754730684,0.0667263855427912,0.054236287543378725,0.028158311399921032,0.05541827645063396,0.028019808678092478,0.05585332879982721,30,0
20,Aheur,expected_violation,150,0,30,45.716328393000836,14.259254856573287,-18.89947827829742,-18.90532763404277,-18.89698566362045,-18.90572274559036,-18.895835703790716,0,30
20,Aheur,R_tau,150,0,30,0.982744193024671,1.0091586872209173,0.026376318291053635,0.025187740722530938,0.030552060001449,0.02475098763972186,0.03427865851343617,29,1
20,Aheur,D_cond,150,0,30,0.003599619972948883,0.0017284674148287692,-0.0019314373027921983,-0.00223259439174495,-0.0018393971671408068,-0.002276066024815114,-0.0017477671410829024,0,30
