,mu,2914.T,3382.T,3407.T,4063.T,4307.T,4502.T,4519.T,4523.T,4543.T,4568.T,4661.T,4901.T,5108.T,5401.T,5713.T,6098.T,6301.T,6367.T,6501.T,6503.T,6645.T,6702.T,6758.T,6762.T,6857.T,6861.T,6902.T,6954.T,6971.T,7011.T,7203.T,7267.T,7733.T,7751.T,7832.T,7974.T,8031.T,8035.T,8058.T,8306.T,8316.T,8411.T,8766.T,8801.T,9022.T,9201.T,9202.T,9432.T,9433.T,9984.T
4661.T,-0.14859028354828724,0.021280481841406781,0.017185823000269947,0.018100527464177969,0.024859393274239895,0.025512916509952136,0.01630666408795254,0.017681819916035259,0.0211473223563606,0.033181917990493852,0.027283065202618365,0.09078050194731864,0.031093354896098664,0.026456107003094628,0.020340384523880817,0.026805043566311484,0.030269710465487328,0.020761187843988713,0.02515636427033632,0.018036641066283207,0.015814366806127952,0.027136079666604002,0.028709050179188868,0.028526758383829034,0.024044533278717181,0.013546780389083673,0.033742517713634443,0.031664711642557214,0.023769651134409559,0.027225934392839952,0.016311428993324058,0.035242705964281598,0.034421863006918754,0.030911997662941129,0.020895921651119146,0.029371635387311339,0.028172761551134275,0.025793911202699873,0.016807981707823414,0.02139550602168918,0.019474911126999249,0.012521303703932854,0.018686330129768738,0.036338708805578011,0.035493452478295467,0.031307182021298355,0.027813744763617108,0.024206827354738003,0.013363168231267828,0.018998825793464881,0.015962401100359212
4901.T,0.18001157048202482,0.028499293603036154,0.028948585581128207,0.038384802865496274,0.05256042881633631,0.03736604827553705,0.019659785131693627,0.025042209023862793,0.029739835413973934,0.050646321264712101,0.043883910441984635,0.031093354896098664,0.087938776981692876,0.040338732730172099,0.031533332905714993,0.051217293211091676,0.05589255940326527,0.050489380618157532,0.037860460037550371,0.061233582805546687,0.048700063515479078,0.054515977652833579,0.050088030626404989,0.046172569352720585,0.067384211890152562,0.06169521776882278,0.052404773236266834,0.052873566537975168,0.053035973255884057,0.044378506839575359,0.060884324679913171,0.057133709244799505,0.056841881459917212,0.04198905369989029,0.045583940550206301,0.035518276118016369,0.045869562515967938,0.050542698042750231,0.063917079956565592,0.043084474999873751,0.051053757893609136,0.043025579915684564,0.050871674312601388,0.060901745422020051,0.049652371944350501,0.0282993985647912,0.028838048043060439,0.023403599220427746,0.016980797209626666,0.019690350208928897,0.057617350370413545
5108.T,0.17166663527146606,0.027020044261951617,0.022336376856085364,0.033976959426558928,0.039515795554118972,0.021015430363628469,0.019954719328005445,0.019345762727564154,0.02762151459168254,0.038741031699945971,0.033189751285071775,0.026456107003094628,0.040338732730172099,0.060230924801298782,0.030089174362066286,0.046898202220919873,0.034046369877804752,0.046424740916970249,0.036379965844192494,0.046548846484273779,0.04702987408970169,0.04358806567387951,0.033699638065569984,0.040720498128705256,0.050121711059675216,0.045290473193957632,0.04088594659917457,0.050971051272922001,0.044315468891236907,0.03513362633850331,0.047084666305466712,0.05671639568228995,0.055573091474264313,0.035014334154632579,0.033565461639530003,0.03181209539541191,0.034290739314594011,0.043646608133237133,0.044226970677618216,0.039316951230837546,0.04278765842674221,0.036494023003997546,0.047112395728817633,0.053300124042713233,0.042724538850799423,0.028941153149026708,0.02925557301455348,0.024169920310474567,0.013316728202696046,0.015670472725123778,0.042794232371683234
5401.T,0.090506166962053575,0.021413933993340153,0.020090751804665199,0.031243582913685404,0.039282038524310767,0.019446762773789355,0.018883952191153557,0.01668398829008623,0.021484989418624142,0.023932914188142008,0.026994651505097885,0.020340384523880817,0.031533332905714993,0.030089174362066286,0.065845778540661912,0.058248493311298388,0.031190643867419585,0.044934841337024467,0.028952789821236766,0.048998337074934013,0.045013415402433504,0.032922136983752105,0.025858350181063722,0.029985487829582495,0.046816316036681918,0.035830418563055598,0.031775491092883905,0.041675379457391672,0.040162026392534224,0.027053135225963736,0.053037358202859611,0.0477867002767247,0.046817171540918925,0.028140886934194,0.028317486690565812,0.022770123970624934,0.025085313978933692,0.043415147729462089,0.035402591726507261,0.041074421777860345,0.044208029269397868,0.040061314596129272,0.047955403029383066,0.044036492440846758,0.03587167230382303,0.023667556828557559,0.024167168674087584,0.020088822222388697,0.014622218682399168,0.01357451903875039,0.049561812566756784
5713.T,0.32699056187390729,0.030794568425004987,0.024490908133869529,0.066436919673544384,0.082482580198756261,0.02524601749393373,0.02389653219520195,0.02928427934277222,0.035000718553464545,0.029023458571498403,0.032097808846053601,0.026805043566311484,0.051217293211091676,0.046898202220919873,0.058248493311298388,0.23269624079440501,0.045994629854443983,0.08302346740252825,0.060727515727760473,0.089800978002405954,0.098051430802103975,0.082199474989581203,0.037306479521621499,0.055387591169166306,0.093793293169631933,0.12885271870157791,0.076578452702900729,0.0573144649840081,0.10735511274279561,0.062938798834206278,0.092545443594310078,0.070669159983855839,0.064270923734060847,0.045310090459396254,0.042812202687064052,0.027819254228830363,0.039666584687992459,0.088238086396088558,0.1097621175313413,0.076745668536411696,0.074357293014882031,0.072959874688417636,0.092770639965439591,0.071636362699560627,0.059321548582256967,0.027921048713911094,0.039826937710155441,0.027878963373407173,0.010168078037685959,0.0052181903677861307,0.13416793342572675
6098.T,0.42095789460325511,0.02252668258625385,0.024242433022406053,0.03002752793534947,0.061158920714609807,0.066650213449692783,0.018133273365328186,0.041908708203353573,0.031441781845774015,0.063106149295431485,0.050485552057601926,0.030269710465487328,0.05589255940326527,0.034046369877804752,0.031190643867419585,0.045994629854443983,0.19523052804922716,0.052314282951441637,0.041123999052093539,0.082447348107374543,0.051527887190274131,0.056734940507013144,0.068063584979549618,0.066270041160955445,0.081053569709318249,0.073862592591577056,0.064906293572372334,0.049457843874611294,0.064008104612663916,0.046812034440095088,0.060802299277449817,0.054386117149978722,0.04515342651471644,0.05482735390173301,0.04482703939513874,0.044912726180957589,0.065287009657489403,0.04399467703850362,0.078391650545823893,0.033802335521630499,0.055109907691117364,0.054266468607260851,0.055647514993146414,0.070534278118238994,0.041439503380567538,0.025116819987276807,0.024995833942111436,0.023594885735389894,0.014575450443779956,0.01834538911729815,0.088015492910661144
6301.T,0.29002304194560241,0.031080617094513385,0.024182911849768885,0.046756145958775482,0.062319413134490298,0.028202250120134803,0.026830039290164451,0.032102119588295307,0.035542941475165422,0.039561927222112686,0.039913332022977442,0.020761187843988713,0.050489380618157532,0.046424740916970249,0.044934841337024467,0.08302346740252825,0.052314282951441637,0.1236457436029889,0.049738875182601471,0.078114979309605856,0.078988087218494277,0.065613347310488637,0.041282694985132706,0.053442534228006371,0.073469942279490108,0.076073289986267265,0.061723974200072376,0.061205697798751658,0.08027925355510393,0.058344000782628934,0.081370086409189454,0.074663345815926291,0.066292872556764762,0.046601133409410002,0.051283689115900928,0.031560476153298454,0.041687318195287787,0.06815127738124245,0.068027295554652881,0.057897114943261281,0.068777261123686692,0.066731402230268438,0.077747442263537456,0.070552278308261385,0.053741674759119708,0.035213025387002383,0.032254799129909514,0.027464441762372928,0.016884264427624723,0.016645643219501061,0.083413544581534091
6367.T,0.01671761999776078,0.023262432939112114,0.021648712431171325,0.039910752887655103,0.05463896437588843,0.021789605423623445,0.016196177118492801,0.023278498256016116,0.026765060420881046,0.03495630350134709,0.031755469109176045,0.02515636427033632,0.037860460037550371,0.036379965844192494,0.028952789821236766,0.060727515727760473,0.041123999052093539,0.049738875182601471,0.10996762597251421,0.047287411726529324,0.060042443827960257,0.066117764668630355,0.029910960381201727,0.042255943218255071,0.062128739756459037,0.061056389320879943,0.055415717577266217,0.045117956972709629,0.061973436544369251,0.043109626946121034,0.051777631797139657,0.050370376033703979,0.050073704182902093,0.038151479354466035,0.027009831699906808,0.023787714908760568,0.033095580117601643,0.046396198636595852,0.064124587942816572,0.037267262940309916,0.037798510182364013,0.03150924515106121,0.040037725740315812,0.046710624081461656,0.044808349557614292,0.022998492011267534,0.025619577968289804,0.024230351986742296,0.010550871727400248,0.012699009129798744,0.06309122893415646
6501.T,0.47581279432708773,0.034861742797821366,0.031616552273029411,0.046669310501450761,0.079782106241884518,0.052011854633406747,0.016965485397551796,0.038008238314884889,0.028714680515206058,0.055081802094527725,0.047443123543228508,0.018036641066283207,0.061233582805546687,0.046548846484273779,0.048998337074934013,0.089800978002405954,0.082447348107374543,0.078114979309605856,0.047287411726529324,0.18469697008439775,0.088998378158318056,0.067951308351742623,0.080179478835232826,0.073464772566173744,0.1049792090394642,0.1357336250009423,0.073782137160587652,0.063138263629543917,0.082436075346162943,0.054080753323886871,0.12178727006520391,0.073698349848887956,0.067434448018987209,0.049341285471612567,0.055809959447674348,0.041692794597755184,0.065998723944552015,0.068964267006307325,0.12000140629431556,0.060033769954079136,0.081217057882335242,0.077301269591412189,0.090308426016250831,0.086707880292681644,0.060070633590965775,0.027882535836207176,0.035009625357501899,0.029666487328497818,0.020505620014493044,0.015418733206885606,0.13327537372137366
6503.T,0.48024282887719055,0.036086395842485117,0.017369200037377089,0.06028150122821041,0.078046870782768854,0.016039596310822059,0.023316508029241657,0.040313356836331277,0.03171522105624533,0.04099558884278947,0.045162647688097406,0.015814366806127952,0.048700063515479078,0.04702987408970169,0.045013415402433504,0.098051430802103975,0.051527887190274131,0.078988087218494277,0.060042443827960257,0.088998378158318056,0.16578323112329468,0.081502100037061057,0.04248333398684033,0.051517954592241115,0.10435161175798637,0.11099770251441618,0.068406390381063095,0.054555542039186285,0.099756090165297809,0.057942281495228828,0.11244883238142202,0.069877213781780495,0.060391562290204287,0.036268678281391853,0.044217721555859749,0.027382326731845753,0.037872966413610036,0.071076734765381955,0.10256315667252582,0.063807339035503979,0.071126969587748168,0.066997068214946748,0.083199204498325727,0.076081782795081737,0.06026466123128215,0.030430946135490668,0.030317825348656961,0.023199402094113662,0.012165421997892339,0.0098343196061315991,0.11540623466310748
